"Notes","County of Residence","County of Residence Code","Year","Year Code","Tobacco Use","Tobacco Use Code",Births
,"Jefferson County, MO","29099","2016","2016","Yes","1",397
,"Jefferson County, MO","29099","2016","2016","No","2",1890
"Total","Jefferson County, MO","29099","2016","2016",,,2287
,"Jefferson County, MO","29099","2017","2017","Yes","1",344
,"Jefferson County, MO","29099","2017","2017","No","2",1719
"Total","Jefferson County, MO","29099","2017","2017",,,2063
,"Jefferson County, MO","29099","2018","2018","Yes","1",356
,"Jefferson County, MO","29099","2018","2018","No","2",1768
"Total","Jefferson County, MO","29099","2018","2018",,,2124
,"Jefferson County, MO","29099","2019","2019","Yes","1",339
,"Jefferson County, MO","29099","2019","2019","No","2",1806
"Total","Jefferson County, MO","29099","2019","2019",,,2145
,"Jefferson County, MO","29099","2020","2020","Yes","1",278
,"Jefferson County, MO","29099","2020","2020","No","2",1830
"Total","Jefferson County, MO","29099","2020","2020",,,2108
,"Jefferson County, MO","29099","2021","2021","Yes","1",246
,"Jefferson County, MO","29099","2021","2021","No","2",1831
"Total","Jefferson County, MO","29099","2021","2021",,,2077
,"Jefferson County, MO","29099","2022","2022","Yes","1",191
,"Jefferson County, MO","29099","2022","2022","No","2",1840
"Total","Jefferson County, MO","29099","2022","2022",,,2031
,"Jefferson County, MO","29099","2023","2023","Yes","1",142
,"Jefferson County, MO","29099","2023","2023","No","2",2009
"Total","Jefferson County, MO","29099","2023","2023",,,2151
,"Jefferson County, MO","29099","2024","2024","Yes","1",133
,"Jefferson County, MO","29099","2024","2024","No","2",2049
"Total","Jefferson County, MO","29099","2024","2024",,,2182
"Total","Jefferson County, MO","29099",,,,,19168
,"St. Charles County, MO","29183","2016","2016","Yes","1",346
,"St. Charles County, MO","29183","2016","2016","No","2",3646
"Total","St. Charles County, MO","29183","2016","2016",,,3992
,"St. Charles County, MO","29183","2017","2017","Yes","1",301
,"St. Charles County, MO","29183","2017","2017","No","2",3617
"Total","St. Charles County, MO","29183","2017","2017",,,3918
,"St. Charles County, MO","29183","2018","2018","Yes","1",253
,"St. Charles County, MO","29183","2018","2018","No","2",3619
"Total","St. Charles County, MO","29183","2018","2018",,,3872
,"St. Charles County, MO","29183","2019","2019","Yes","1",244
,"St. Charles County, MO","29183","2019","2019","No","2",3714
"Total","St. Charles County, MO","29183","2019","2019",,,3958
,"St. Charles County, MO","29183","2020","2020","Yes","1",211
,"St. Charles County, MO","29183","2020","2020","No","2",3465
"Total","St. Charles County, MO","29183","2020","2020",,,3676
,"St. Charles County, MO","29183","2021","2021","Yes","1",142
,"St. Charles County, MO","29183","2021","2021","No","2",3416
"Total","St. Charles County, MO","29183","2021","2021",,,3558
,"St. Charles County, MO","29183","2022","2022","Yes","1",97
,"St. Charles County, MO","29183","2022","2022","No","2",3590
"Total","St. Charles County, MO","29183","2022","2022",,,3687
,"St. Charles County, MO","29183","2023","2023","Yes","1",87
,"St. Charles County, MO","29183","2023","2023","No","2",3496
"Total","St. Charles County, MO","29183","2023","2023",,,3583
,"St. Charles County, MO","29183","2024","2024","Yes","1",47
,"St. Charles County, MO","29183","2024","2024","No","2",3683
"Total","St. Charles County, MO","29183","2024","2024",,,3730
"Total","St. Charles County, MO","29183",,,,,33974
,"St. Louis County, MO","29189","2016","2016","Yes","1",705
,"St. Louis County, MO","29189","2016","2016","No","2",8965
"Total","St. Louis County, MO","29189","2016","2016",,,9670
,"St. Louis County, MO","29189","2017","2017","Yes","1",561
,"St. Louis County, MO","29189","2017","2017","No","2",8413
"Total","St. Louis County, MO","29189","2017","2017",,,8974
,"St. Louis County, MO","29189","2018","2018","Yes","1",550
,"St. Louis County, MO","29189","2018","2018","No","2",8671
"Total","St. Louis County, MO","29189","2018","2018",,,9221
,"St. Louis County, MO","29189","2019","2019","Yes","1",561
,"St. Louis County, MO","29189","2019","2019","No","2",9105
"Total","St. Louis County, MO","29189","2019","2019",,,9666
,"St. Louis County, MO","29189","2020","2020","Yes","1",432
,"St. Louis County, MO","29189","2020","2020","No","2",8347
"Total","St. Louis County, MO","29189","2020","2020",,,8779
,"St. Louis County, MO","29189","2021","2021","Yes","1",340
,"St. Louis County, MO","29189","2021","2021","No","2",7988
"Total","St. Louis County, MO","29189","2021","2021",,,8328
,"St. Louis County, MO","29189","2022","2022","Yes","1",342
,"St. Louis County, MO","29189","2022","2022","No","2",8434
"Total","St. Louis County, MO","29189","2022","2022",,,8776
,"St. Louis County, MO","29189","2023","2023","Yes","1",262
,"St. Louis County, MO","29189","2023","2023","No","2",8247
"Total","St. Louis County, MO","29189","2023","2023",,,8509
,"St. Louis County, MO","29189","2024","2024","Yes","1",214
,"St. Louis County, MO","29189","2024","2024","No","2",8641
"Total","St. Louis County, MO","29189","2024","2024",,,8855
"Total","St. Louis County, MO","29189",,,,,80778
,"St. Louis city, MO","29510","2016","2016","Yes","1",420
,"St. Louis city, MO","29510","2016","2016","No","2",3058
"Total","St. Louis city, MO","29510","2016","2016",,,3478
,"St. Louis city, MO","29510","2017","2017","Yes","1",345
,"St. Louis city, MO","29510","2017","2017","No","2",2710
