"Notes","County of Residence","County of Residence Code","Year","Year Code","Pre-pregnancy Hypertension","Pre-pregnancy Hypertension Code",Births
"Total","Jefferson County, MO","29099","2017","2017",,,2063
,"Jefferson County, MO","29099","2018","2018","Yes","1",48
,"Jefferson County, MO","29099","2018","2018","No","2",2076
"Total","Jefferson County, MO","29099","2018","2018",,,2124
,"Jefferson County, MO","29099","2019","2019","Yes","1",70
,"Jefferson County, MO","29099","2019","2019","No","2",2075
"Total","Jefferson County, MO","29099","2019","2019",,,2145
,"Jefferson County, MO","29099","2020","2020","Yes","1",57
,"Jefferson County, MO","29099","2020","2020","No","2",2051
"Total","Jefferson County, MO","29099","2020","2020",,,2108
,"Jefferson County, MO","29099","2021","2021","Yes","1",72
,"Jefferson County, MO","29099","2021","2021","No","2",2005
"Total","Jefferson County, MO","29099","2021","2021",,,2077
,"Jefferson County, MO","29099","2022","2022","Yes","1",71
,"Jefferson County, MO","29099","2022","2022","No","2",1960
"Total","Jefferson County, MO","29099","2022","2022",,,2031
,"Jefferson County, MO","29099","2023","2023","Yes","1",84
,"Jefferson County, MO","29099","2023","2023","No","2",2067
"Total","Jefferson County, MO","29099","2023","2023",,,2151
,"Jefferson County, MO","29099","2024","2024","Yes","1",126
,"Jefferson County, MO","29099","2024","2024","No","2",2056
"Total","Jefferson County, MO","29099","2024","2024",,,2182
"Total","Jefferson County, MO","29099",,,,,19168
,"St. Charles County, MO","29183","2016","2016","Yes","1",78
,"St. Charles County, MO","29183","2016","2016","No","2",3914
"Total","St. Charles County, MO","29183","2016","2016",,,3992
,"St. Charles County, MO","29183","2017","2017","Yes","1",83
,"St. Charles County, MO","29183","2017","2017","No","2",3835
"Total","St. Charles County, MO","29183","2017","2017",,,3918
,"St. Charles County, MO","29183","2018","2018","Yes","1",80
,"St. Charles County, MO","29183","2018","2018","No","2",3792
"Total","St. Charles County, MO","29183","2018","2018",,,3872
,"St. Charles County, MO","29183","2019","2019","Yes","1",84
,"St. Charles County, MO","29183","2019","2019","No","2",3874
"Total","St. Charles County, MO","29183","2019","2019",,,3958
,"St. Charles County, MO","29183","2020","2020","Yes","1",108
,"St. Charles County, MO","29183","2020","2020","No","2",3568
"Total","St. Charles County, MO","29183","2020","2020",,,3676
,"St. Charles County, MO","29183","2021","2021","Yes","1",87
,"St. Charles County, MO","29183","2021","2021","No","2",3471
"Total","St. Charles County, MO","29183","2021","2021",,,3558
,"St. Charles County, MO","29183","2022","2022","Yes","1",93
,"St. Charles County, MO","29183","2022","2022","No","2",3594
"Total","St. Charles County, MO","29183","2022","2022",,,3687
,"St. Charles County, MO","29183","2023","2023","Yes","1",126
,"St. Charles County, MO","29183","2023","2023","No","2",3457
