"Notes","County of Residence","County of Residence Code","Year","Year Code","OE Gestational Age Recode 11","OE Gestational Age Recode 11 Code",Births
,"Franklin County, MO","29071","2016","2016","40 weeks","08",197
,"Franklin County, MO","29071","2016","2016","41 weeks","09",71
,"Franklin County, MO","29071","2017","2017","32-33 weeks","04",10
,"Franklin County, MO","29071","2017","2017","34-36 weeks","05",94
,"Franklin County, MO","29071","2017","2017","37-38 weeks","06",313
,"Franklin County, MO","29071","2017","2017","39 weeks","07",407
,"Franklin County, MO","29071","2017","2017","40 weeks","08",241
,"Franklin County, MO","29071","2017","2017","41 weeks","09",70
,"Franklin County, MO","29071","2018","2018","28-31 weeks","03",10
,"Franklin County, MO","29071","2018","2018","32-33 weeks","04",13
,"Franklin County, MO","29071","2018","2018","34-36 weeks","05",88
,"Franklin County, MO","29071","2018","2018","37-38 weeks","06",273
,"Franklin County, MO","29071","2018","2018","39 weeks","07",411
,"Franklin County, MO","29071","2018","2018","40 weeks","08",211
,"Franklin County, MO","29071","2018","2018","41 weeks","09",63
,"Franklin County, MO","29071","2019","2019","32-33 weeks","04",10
,"Franklin County, MO","29071","2019","2019","34-36 weeks","05",97
,"Franklin County, MO","29071","2019","2019","37-38 weeks","06",290
,"Franklin County, MO","29071","2019","2019","39 weeks","07",458
,"Franklin County, MO","29071","2019","2019","40 weeks","08",201
,"Franklin County, MO","29071","2019","2019","41 weeks","09",54
,"Franklin County, MO","29071","2020","2020","28-31 weeks","03",13
,"Franklin County, MO","29071","2020","2020","32-33 weeks","04",12
,"Franklin County, MO","29071","2020","2020","34-36 weeks","05",78
,"Franklin County, MO","29071","2020","2020","37-38 weeks","06",306
,"Franklin County, MO","29071","2020","2020","39 weeks","07",363
,"Franklin County, MO","29071","2020","2020","40 weeks","08",182
,"Franklin County, MO","29071","2020","2020","41 weeks","09",43
,"Franklin County, MO","29071","2021","2021","34-36 weeks","05",85
,"Franklin County, MO","29071","2021","2021","37-38 weeks","06",298
,"Franklin County, MO","29071","2021","2021","39 weeks","07",399
,"Franklin County, MO","29071","2021","2021","40 weeks","08",179
,"Franklin County, MO","29071","2021","2021","41 weeks","09",34
,"Franklin County, MO","29071","2022","2022","32-33 weeks","04",12
,"Franklin County, MO","29071","2022","2022","34-36 weeks","05",80
,"Franklin County, MO","29071","2022","2022","37-38 weeks","06",328
,"Franklin County, MO","29071","2022","2022","39 weeks","07",384
,"Franklin County, MO","29071","2022","2022","40 weeks","08",178
,"Franklin County, MO","29071","2022","2022","41 weeks","09",35
,"Franklin County, MO","29071","2023","2023","28-31 weeks","03",12
,"Franklin County, MO","29071","2023","2023","34-36 weeks","05",75
,"Franklin County, MO","29071","2023","2023","37-38 weeks","06",282
,"Franklin County, MO","29071","2023","2023","39 weeks","07",437
,"Franklin County, MO","29071","2023","2023","40 weeks","08",184
,"Franklin County, MO","29071","2023","2023","41 weeks","09",36
,"Franklin County, MO","29071","2024","2024","28-31 weeks","03",12
,"Franklin County, MO","29071","2024","2024","32-33 weeks","04",13
,"Franklin County, MO","29071","2024","2024","34-36 weeks","05",111
,"Franklin County, MO","29071","2024","2024","37-38 weeks","06",323
,"Franklin County, MO","29071","2024","2024","39 weeks","07",411
,"Franklin County, MO","29071","2024","2024","40 weeks","08",194
,"Franklin County, MO","29071","2024","2024","41 weeks","09",35
,"Greene County, MO","29077","2016","2016","20-27 weeks","02",13
,"Greene County, MO","29077","2016","2016","28-31 weeks","03",16
,"Greene County, MO","29077","2016","2016","32-33 weeks","04",34
,"Greene County, MO","29077","2016","2016","34-36 weeks","05",167
,"Greene County, MO","29077","2016","2016","37-38 weeks","06",612
,"Greene County, MO","29077","2016","2016","39 weeks","07",939
,"Greene County, MO","29077","2016","2016","40 weeks","08",748
,"Greene County, MO","29077","2016","2016","41 weeks","09",164
,"Greene County, MO","29077","2017","2017","20-27 weeks","02",18
,"Greene County, MO","29077","2017","2017","28-31 weeks","03",17
,"Greene County, MO","29077","2017","2017","32-33 weeks","04",28
,"Greene County, MO","29077","2017","2017","34-36 weeks","05",207
,"Greene County, MO","29077","2017","2017","37-38 weeks","06",701
,"Greene County, MO","29077","2017","2017","39 weeks","07",1019
,"Greene County, MO","29077","2017","2017","40 weeks","08",682
,"Greene County, MO","29077","2017","2017","41 weeks","09",163
,"Greene County, MO","29077","2018","2018","20-27 weeks","02",14
,"Greene County, MO","29077","2018","2018","28-31 weeks","03",29
,"Greene County, MO","29077","2018","2018","32-33 weeks","04",32
,"Greene County, MO","29077","2018","2018","34-36 weeks","05",216
,"Greene County, MO","29077","2018","2018","37-38 weeks","06",778
,"Greene County, MO","29077","2018","2018","39 weeks","07",1173
,"Greene County, MO","29077","2018","2018","40 weeks","08",689
,"Greene County, MO","29077","2018","2018","41 weeks","09",165
