"Notes","County of Residence","County of Residence Code","Year","Year Code","Infant Birth Weight 12","Infant Birth Weight 12 Code",Births
,"Franklin County, MO","29071","2022","2022","3500 - 3999 grams","08",332
,"Franklin County, MO","29071","2022","2022","4000 - 4499 grams","09",82
,"Franklin County, MO","29071","2022","2022","4500 - 4999 grams","10",14
,"Franklin County, MO","29071","2023","2023","1000 - 1499 grams","03",11
,"Franklin County, MO","29071","2023","2023","1500 - 1999 grams","04",14
,"Franklin County, MO","29071","2023","2023","2000 - 2499 grams","05",72
,"Franklin County, MO","29071","2023","2023","2500 - 2999 grams","06",154
,"Franklin County, MO","29071","2023","2023","3000 - 3499 grams","07",380
,"Franklin County, MO","29071","2023","2023","3500 - 3999 grams","08",310
,"Franklin County, MO","29071","2023","2023","4000 - 4499 grams","09",84
,"Franklin County, MO","29071","2023","2023","4500 - 4999 grams","10",13
,"Franklin County, MO","29071","2024","2024","1500 - 1999 grams","04",14
,"Franklin County, MO","29071","2024","2024","2000 - 2499 grams","05",60
,"Franklin County, MO","29071","2024","2024","2500 - 2999 grams","06",200
,"Franklin County, MO","29071","2024","2024","3000 - 3499 grams","07",413
,"Franklin County, MO","29071","2024","2024","3500 - 3999 grams","08",289
,"Franklin County, MO","29071","2024","2024","4000 - 4499 grams","09",110
,"Franklin County, MO","29071","2024","2024","4500 - 4999 grams","10",10
,"Greene County, MO","29077","2016","2016","1000 - 1499 grams","03",18
,"Greene County, MO","29077","2016","2016","1500 - 1999 grams","04",42
,"Greene County, MO","29077","2016","2016","2000 - 2499 grams","05",127
,"Greene County, MO","29077","2016","2016","2500 - 2999 grams","06",377
,"Greene County, MO","29077","2016","2016","3000 - 3499 grams","07",1031
,"Greene County, MO","29077","2016","2016","3500 - 3999 grams","08",800
,"Greene County, MO","29077","2016","2016","4000 - 4499 grams","09",253
,"Greene County, MO","29077","2016","2016","4500 - 4999 grams","10",34
,"Greene County, MO","29077","2017","2017","500 - 999 grams","02",13
,"Greene County, MO","29077","2017","2017","1000 - 1499 grams","03",15
,"Greene County, MO","29077","2017","2017","1500 - 1999 grams","04",35
,"Greene County, MO","29077","2017","2017","2000 - 2499 grams","05",117
,"Greene County, MO","29077","2017","2017","2500 - 2999 grams","06",463
,"Greene County, MO","29077","2017","2017","3000 - 3499 grams","07",1050
,"Greene County, MO","29077","2017","2017","3500 - 3999 grams","08",879
,"Greene County, MO","29077","2017","2017","4000 - 4499 grams","09",229
,"Greene County, MO","29077","2017","2017","4500 - 4999 grams","10",33
