"Notes","County of Residence","County of Residence Code","Year","Year Code","Age of Mother 13","Age of Mother 13 Code",Births
,"Franklin County, MO","29071","2023","2023","40-44 years","40-44",15
,"Franklin County, MO","29071","2024","2024","18 years","18",19
,"Franklin County, MO","29071","2024","2024","19 years","19",22
,"Franklin County, MO","29071","2024","2024","20-24 years","20-24",241
,"Franklin County, MO","29071","2024","2024","25-29 years","25-29",372
,"Franklin County, MO","29071","2024","2024","30-34 years","30-34",300
,"Franklin County, MO","29071","2024","2024","35-39 years","35-39",124
,"Franklin County, MO","29071","2024","2024","40-44 years","40-44",22
,"Greene County, MO","29077","2016","2016","17 years","17",31
,"Greene County, MO","29077","2016","2016","18 years","18",45
,"Greene County, MO","29077","2016","2016","19 years","19",74
,"Greene County, MO","29077","2016","2016","20-24 years","20-24",653
,"Greene County, MO","29077","2016","2016","25-29 years","25-29",871
,"Greene County, MO","29077","2016","2016","30-34 years","30-34",692
,"Greene County, MO","29077","2016","2016","35-39 years","35-39",266
,"Greene County, MO","29077","2016","2016","40-44 years","40-44",52
,"Greene County, MO","29077","2017","2017","16 years","16",13
,"Greene County, MO","29077","2017","2017","17 years","17",17
,"Greene County, MO","29077","2017","2017","18 years","18",37
,"Greene County, MO","29077","2017","2017","19 years","19",85
,"Greene County, MO","29077","2017","2017","20-24 years","20-24",648
,"Greene County, MO","29077","2017","2017","25-29 years","25-29",953
,"Greene County, MO","29077","2017","2017","30-34 years","30-34",742
,"Greene County, MO","29077","2017","2017","35-39 years","35-39",292
,"Greene County, MO","29077","2017","2017","40-44 years","40-44",46
,"Greene County, MO","29077","2018","2018","16 years","16",10
,"Greene County, MO","29077","2018","2018","17 years","17",30
,"Greene County, MO","29077","2018","2018","18 years","18",67
,"Greene County, MO","29077","2018","2018","19 years","19",84
,"Greene County, MO","29077","2018","2018","20-24 years","20-24",765
,"Greene County, MO","29077","2018","2018","25-29 years","25-29",1018
,"Greene County, MO","29077","2018","2018","30-34 years","30-34",753
,"Greene County, MO","29077","2018","2018","35-39 years","35-39",312
,"Greene County, MO","29077","2018","2018","40-44 years","40-44",65
,"Greene County, MO","29077","2019","2019","16 years","16",11
,"Greene County, MO","29077","2019","2019","17 years","17",28
,"Greene County, MO","29077","2019","2019","18 years","18",53
,"Greene County, MO","29077","2019","2019","19 years","19",92
,"Greene County, MO","29077","2019","2019","20-24 years","20-24",736
,"Greene County, MO","29077","2019","2019","25-29 years","25-29",1025
,"Greene County, MO","29077","2019","2019","30-34 years","30-34",774
,"Greene County, MO","29077","2019","2019","35-39 years","35-39",333
,"Greene County, MO","29077","2019","2019","40-44 years","40-44",64
,"Greene County, MO","29077","2020","2020","17 years","17",29
,"Greene County, MO","29077","2020","2020","18 years","18",45
,"Greene County, MO","29077","2020","2020","19 years","19",91
,"Greene County, MO","29077","2020","2020","20-24 years","20-24",718
,"Greene County, MO","29077","2020","2020","25-29 years","25-29",950
,"Greene County, MO","29077","2020","2020","30-34 years","30-34",793
,"Greene County, MO","29077","2020","2020","35-39 years","35-39",316
,"Greene County, MO","29077","2020","2020","40-44 years","40-44",52
,"Greene County, MO","29077","2021","2021","17 years","17",22
,"Greene County, MO","29077","2021","2021","18 years","18",48
,"Greene County, MO","29077","2021","2021","19 years","19",76
,"Greene County, MO","29077","2021","2021","20-24 years","20-24",735
,"Greene County, MO","29077","2021","2021","25-29 years","25-29",1007
,"Greene County, MO","29077","2021","2021","30-34 years","30-34",784
,"Greene County, MO","29077","2021","2021","35-39 years","35-39",330
