"Notes","County of Residence","County of Residence Code","Year","Year Code","Gestational Diabetes","Gestational Diabetes Code",Births
,"Jefferson County, MO","29099","2017","2017","Yes","1",155
,"Jefferson County, MO","29099","2017","2017","No","2",1908
"Total","Jefferson County, MO","29099","2017","2017",,,2063
,"Jefferson County, MO","29099","2018","2018","Yes","1",195
,"Jefferson County, MO","29099","2018","2018","No","2",1929
"Total","Jefferson County, MO","29099","2018","2018",,,2124
,"Jefferson County, MO","29099","2019","2019","Yes","1",182
,"Jefferson County, MO","29099","2019","2019","No","2",1963
"Total","Jefferson County, MO","29099","2019","2019",,,2145
,"Jefferson County, MO","29099","2020","2020","Yes","1",203
,"Jefferson County, MO","29099","2020","2020","No","2",1905
"Total","Jefferson County, MO","29099","2020","2020",,,2108
,"Jefferson County, MO","29099","2021","2021","Yes","1",192
,"Jefferson County, MO","29099","2021","2021","No","2",1885
"Total","Jefferson County, MO","29099","2021","2021",,,2077
,"Jefferson County, MO","29099","2022","2022","Yes","1",160
,"Jefferson County, MO","29099","2022","2022","No","2",1871
"Total","Jefferson County, MO","29099","2022","2022",,,2031
,"Jefferson County, MO","29099","2023","2023","Yes","1",167
,"Jefferson County, MO","29099","2023","2023","No","2",1984
"Total","Jefferson County, MO","29099","2023","2023",,,2151
,"Jefferson County, MO","29099","2024","2024","Yes","1",194
,"Jefferson County, MO","29099","2024","2024","No","2",1988
"Total","Jefferson County, MO","29099","2024","2024",,,2182
"Total","Jefferson County, MO","29099",,,,,19168
,"St. Charles County, MO","29183","2016","2016","Yes","1",273
,"St. Charles County, MO","29183","2016","2016","No","2",3719
"Total","St. Charles County, MO","29183","2016","2016",,,3992
,"St. Charles County, MO","29183","2017","2017","Yes","1",293
,"St. Charles County, MO","29183","2017","2017","No","2",3625
"Total","St. Charles County, MO","29183","2017","2017",,,3918
,"St. Charles County, MO","29183","2018","2018","Yes","1",319
,"St. Charles County, MO","29183","2018","2018","No","2",3553
"Total","St. Charles County, MO","29183","2018","2018",,,3872
,"St. Charles County, MO","29183","2019","2019","Yes","1",297
,"St. Charles County, MO","29183","2019","2019","No","2",3661
"Total","St. Charles County, MO","29183","2019","2019",,,3958
,"St. Charles County, MO","29183","2020","2020","Yes","1",352
,"St. Charles County, MO","29183","2020","2020","No","2",3324
"Total","St. Charles County, MO","29183","2020","2020",,,3676
,"St. Charles County, MO","29183","2021","2021","Yes","1",332
,"St. Charles County, MO","29183","2021","2021","No","2",3226
"Total","St. Charles County, MO","29183","2021","2021",,,3558
,"St. Charles County, MO","29183","2022","2022","Yes","1",342
,"St. Charles County, MO","29183","2022","2022","No","2",3345
"Total","St. Charles County, MO","29183","2022","2022",,,3687
,"St. Charles County, MO","29183","2023","2023","Yes","1",320
,"St. Charles County, MO","29183","2023","2023","No","2",3263
"Total","St. Charles County, MO","29183","2023","2023",,,3583
