"Notes","County of Residence","County of Residence Code","Year","Year Code","Trimester Prenatal Care Began","Trimester Prenatal Care Began Code",Births
,"Jasper County, MO","29097","2017","2017","No prenatal care","4",14
,"Jasper County, MO","29097","2018","2018","1st to 3rd month","1",1143
,"Jasper County, MO","29097","2018","2018","4th to 6th month","2",294
,"Jasper County, MO","29097","2018","2018","7th to final month","3",42
,"Jasper County, MO","29097","2018","2018","No prenatal care","4",15
,"Jasper County, MO","29097","2019","2019","1st to 3rd month","1",1109
,"Jasper County, MO","29097","2019","2019","4th to 6th month","2",260
,"Jasper County, MO","29097","2019","2019","7th to final month","3",82
,"Jasper County, MO","29097","2019","2019","No prenatal care","4",22
,"Jasper County, MO","29097","2020","2020","1st to 3rd month","1",1100
,"Jasper County, MO","29097","2020","2020","4th to 6th month","2",253
,"Jasper County, MO","29097","2020","2020","7th to final month","3",54
,"Jasper County, MO","29097","2020","2020","No prenatal care","4",23
,"Jasper County, MO","29097","2021","2021","1st to 3rd month","1",1227
,"Jasper County, MO","29097","2021","2021","4th to 6th month","2",196
,"Jasper County, MO","29097","2021","2021","7th to final month","3",35
,"Jasper County, MO","29097","2021","2021","No prenatal care","4",20
,"Jasper County, MO","29097","2022","2022","1st to 3rd month","1",1186
,"Jasper County, MO","29097","2022","2022","4th to 6th month","2",255
,"Jasper County, MO","29097","2022","2022","7th to final month","3",51
,"Jasper County, MO","29097","2022","2022","No prenatal care","4",18
,"Jasper County, MO","29097","2023","2023","1st to 3rd month","1",1079
,"Jasper County, MO","29097","2023","2023","4th to 6th month","2",235
,"Jasper County, MO","29097","2023","2023","7th to final month","3",46
,"Jasper County, MO","29097","2023","2023","No prenatal care","4",19
,"Jasper County, MO","29097","2024","2024","1st to 3rd month","1",1093
,"Jasper County, MO","29097","2024","2024","4th to 6th month","2",241
,"Jasper County, MO","29097","2024","2024","7th to final month","3",51
,"Jasper County, MO","29097","2024","2024","No prenatal care","4",21
,"Jefferson County, MO","29099","2016","2016","1st to 3rd month","1",1924
,"Jefferson County, MO","29099","2016","2016","4th to 6th month","2",296
,"Jefferson County, MO","29099","2016","2016","7th to final month","3",44
,"Jefferson County, MO","29099","2016","2016","No prenatal care","4",23
,"Jefferson County, MO","29099","2017","2017","1st to 3rd month","1",1654
,"Jefferson County, MO","29099","2017","2017","4th to 6th month","2",347
,"Jefferson County, MO","29099","2017","2017","7th to final month","3",48
,"Jefferson County, MO","29099","2017","2017","No prenatal care","4",14
,"Jefferson County, MO","29099","2018","2018","1st to 3rd month","1",1637
,"Jefferson County, MO","29099","2018","2018","4th to 6th month","2",400
,"Jefferson County, MO","29099","2018","2018","7th to final month","3",66
,"Jefferson County, MO","29099","2018","2018","No prenatal care","4",21
,"Jefferson County, MO","29099","2019","2019","1st to 3rd month","1",1641
,"Jefferson County, MO","29099","2019","2019","4th to 6th month","2",394
,"Jefferson County, MO","29099","2019","2019","7th to final month","3",76
,"Jefferson County, MO","29099","2019","2019","No prenatal care","4",34
,"Jefferson County, MO","29099","2020","2020","1st to 3rd month","1",1531
,"Jefferson County, MO","29099","2020","2020","4th to 6th month","2",483
,"Jefferson County, MO","29099","2020","2020","7th to final month","3",69
,"Jefferson County, MO","29099","2020","2020","No prenatal care","4",25
,"Jefferson County, MO","29099","2021","2021","1st to 3rd month","1",1627
,"Jefferson County, MO","29099","2021","2021","4th to 6th month","2",376
,"Jefferson County, MO","29099","2021","2021","7th to final month","3",55
,"Jefferson County, MO","29099","2021","2021","No prenatal care","4",19
,"Jefferson County, MO","29099","2022","2022","1st to 3rd month","1",1557
,"Jefferson County, MO","29099","2022","2022","4th to 6th month","2",389
,"Jefferson County, MO","29099","2022","2022","7th to final month","3",63
,"Jefferson County, MO","29099","2022","2022","No prenatal care","4",22
,"Jefferson County, MO","29099","2023","2023","1st to 3rd month","1",1675
,"Jefferson County, MO","29099","2023","2023","4th to 6th month","2",382
,"Jefferson County, MO","29099","2023","2023","7th to final month","3",60
,"Jefferson County, MO","29099","2023","2023","No prenatal care","4",34
,"Jefferson County, MO","29099","2024","2024","1st to 3rd month","1",1715
,"Jefferson County, MO","29099","2024","2024","4th to 6th month","2",371
,"Jefferson County, MO","29099","2024","2024","7th to final month","3",67
,"Jefferson County, MO","29099","2024","2024","No prenatal care","4",29
,"St. Charles County, MO","29183","2016","2016","1st to 3rd month","1",3491
,"St. Charles County, MO","29183","2016","2016","4th to 6th month","2",400
,"St. Charles County, MO","29183","2016","2016","7th to final month","3",86
,"St. Charles County, MO","29183","2016","2016","No prenatal care","4",15
,"St. Charles County, MO","29183","2017","2017","1st to 3rd month","1",3328
,"St. Charles County, MO","29183","2017","2017","4th to 6th month","2",494
,"St. Charles County, MO","29183","2017","2017","7th to final month","3",81
,"St. Charles County, MO","29183","2017","2017","No prenatal care","4",15
,"St. Charles County, MO","29183","2018","2018","1st to 3rd month","1",3363
,"St. Charles County, MO","29183","2018","2018","4th to 6th month","2",418
,"St. Charles County, MO","29183","2018","2018","7th to final month","3",76
,"St. Charles County, MO","29183","2018","2018","No prenatal care","4",15
,"St. Charles County, MO","29183","2019","2019","1st to 3rd month","1",3377
,"St. Charles County, MO","29183","2019","2019","4th to 6th month","2",471
,"St. Charles County, MO","29183","2019","2019","7th to final month","3",84
,"St. Charles County, MO","29183","2019","2019","No prenatal care","4",26
,"St. Charles County, MO","29183","2020","2020","1st to 3rd month","1",3100
,"St. Charles County, MO","29183","2020","2020","4th to 6th month","2",477
,"St. Charles County, MO","29183","2020","2020","7th to final month","3",73
,"St. Charles County, MO","29183","2020","2020","No prenatal care","4",26
,"St. Charles County, MO","29183","2021","2021","1st to 3rd month","1",2992
,"St. Charles County, MO","29183","2021","2021","4th to 6th month","2",477
,"St. Charles County, MO","29183","2021","2021","7th to final month","3",72
,"St. Charles County, MO","29183","2021","2021","No prenatal care","4",17
,"St. Charles County, MO","29183","2022","2022","1st to 3rd month","1",3006
,"St. Charles County, MO","29183","2022","2022","4th to 6th month","2",545
,"St. Charles County, MO","29183","2022","2022","7th to final month","3",104
,"St. Charles County, MO","29183","2022","2022","No prenatal care","4",32
,"St. Charles County, MO","29183","2023","2023","1st to 3rd month","1",2902
,"St. Charles County, MO","29183","2023","2023","4th to 6th month","2",561
,"St. Charles County, MO","29183","2023","2023","7th to final month","3",95
,"St. Charles County, MO","29183","2023","2023","No prenatal care","4",25
,"St. Charles County, MO","29183","2024","2024","1st to 3rd month","1",2990
,"St. Charles County, MO","29183","2024","2024","4th to 6th month","2",594
,"St. Charles County, MO","29183","2024","2024","7th to final month","3",103
,"St. Charles County, MO","29183","2024","2024","No prenatal care","4",43
,"St. Louis County, MO","29189","2016","2016","1st to 3rd month","1",7966
,"St. Louis County, MO","29189","2016","2016","4th to 6th month","2",1381
,"St. Louis County, MO","29189","2016","2016","7th to final month","3",247
,"St. Louis County, MO","29189","2016","2016","No prenatal care","4",76
,"St. Louis County, MO","29189","2017","2017","1st to 3rd month","1",7097
,"St. Louis County, MO","29189","2017","2017","4th to 6th month","2",1495
,"St. Louis County, MO","29189","2017","2017","7th to final month","3",302
,"St. Louis County, MO","29189","2017","2017","No prenatal care","4",80
,"St. Louis County, MO","29189","2018","2018","1st to 3rd month","1",7042
,"St. Louis County, MO","29189","2018","2018","4th to 6th month","2",1651
,"St. Louis County, MO","29189","2018","2018","7th to final month","3",394
,"St. Louis County, MO","29189","2018","2018","No prenatal care","4",134
,"St. Louis County, MO","29189","2019","2019","1st to 3rd month","1",7281
,"St. Louis County, MO","29189","2019","2019","4th to 6th month","2",1752
,"St. Louis County, MO","29189","2019","2019","7th to final month","3",404
,"St. Louis County, MO","29189","2019","2019","No prenatal care","4",229
,"St. Louis County, MO","29189","2020","2020","1st to 3rd month","1",6579
,"St. Louis County, MO","29189","2020","2020","4th to 6th month","2",1709
,"St. Louis County, MO","29189","2020","2020","7th to final month","3",333
,"St. Louis County, MO","29189","2020","2020","No prenatal care","4",158
,"St. Louis County, MO","29189","2021","2021","1st to 3rd month","1",6507
,"St. Louis County, MO","29189","2021","2021","4th to 6th month","2",1383
,"St. Louis County, MO","29189","2021","2021","7th to final month","3",266
,"St. Louis County, MO","29189","2021","2021","No prenatal care","4",172
,"St. Louis County, MO","29189","2022","2022","1st to 3rd month","1",6400
,"St. Louis County, MO","29189","2022","2022","4th to 6th month","2",1730
,"St. Louis County, MO","29189","2022","2022","7th to final month","3",417
,"St. Louis County, MO","29189","2022","2022","No prenatal care","4",229
,"St. Louis County, MO","29189","2023","2023","1st to 3rd month","1",6167
,"St. Louis County, MO","29189","2023","2023","4th to 6th month","2",1724
,"St. Louis County, MO","29189","2023","2023","7th to final month","3",360
,"St. Louis County, MO","29189","2023","2023","No prenatal care","4",258
,"St. Louis County, MO","29189","2024","2024","1st to 3rd month","1",6528
,"St. Louis County, MO","29189","2024","2024","4th to 6th month","2",1669
,"St. Louis County, MO","29189","2024","2024","7th to final month","3",401
,"St. Louis County, MO","29189","2024","2024","No prenatal care","4",257
,"St. Louis city, MO","29510","2016","2016","1st to 3rd month","1",2575
,"St. Louis city, MO","29510","2016","2016","4th to 6th month","2",689
,"St. Louis city, MO","29510","2016","2016","7th to final month","3",127
,"St. Louis city, MO","29510","2016","2016","No prenatal care","4",87
,"St. Louis city, MO","29510","2017","2017","1st to 3rd month","1",2205
,"St. Louis city, MO","29510","2017","2017","4th to 6th month","2",640
,"St. Louis city, MO","29510","2017","2017","7th to final month","3",149
,"St. Louis city, MO","29510","2017","2017","No prenatal care","4",61
,"St. Louis city, MO","29510","2018","2018","1st to 3rd month","1",1948
,"St. Louis city, MO","29510","2018","2018","4th to 6th month","2",678
,"St. Louis city, MO","29510","2018","2018","7th to final month","3",292
,"St. Louis city, MO","29510","2018","2018","No prenatal care","4",125
,"St. Louis city, MO","29510","2019","2019","1st to 3rd month","1",1976
,"St. Louis city, MO","29510","2019","2019","4th to 6th month","2",714
,"St. Louis city, MO","29510","2019","2019","7th to final month","3",256
,"St. Louis city, MO","29510","2019","2019","No prenatal care","4",318
,"St. Louis city, MO","29510","2020","2020","1st to 3rd month","1",1976
,"St. Louis city, MO","29510","2020","2020","4th to 6th month","2",625
,"St. Louis city, MO","29510","2020","2020","7th to final month","3",204
,"St. Louis city, MO","29510","2020","2020","No prenatal care","4",173
,"St. Louis city, MO","29510","2021","2021","1st to 3rd month","1",1974
,"St. Louis city, MO","29510","2021","2021","4th to 6th month","2",587
,"St. Louis city, MO","29510","2021","2021","7th to final month","3",216
,"St. Louis city, MO","29510","2021","2021","No prenatal care","4",256
,"St. Louis city, MO","29510","2022","2022","1st to 3rd month","1",1772
,"St. Louis city, MO","29510","2022","2022","4th to 6th month","2",656
,"St. Louis city, MO","29510","2022","2022","7th to final month","3",242
,"St. Louis city, MO","29510","2022","2022","No prenatal care","4",234
,"St. Louis city, MO","29510","2023","2023","1st to 3rd month","1",1781
,"St. Louis city, MO","29510","2023","2023","4th to 6th month","2",615
,"St. Louis city, MO","29510","2023","2023","7th to final month","3",243
,"St. Louis city, MO","29510","2023","2023","No prenatal care","4",253
,"St. Louis city, MO","29510","2024","2024","1st to 3rd month","1",1785
,"St. Louis city, MO","29510","2024","2024","4th to 6th month","2",557
,"St. Louis city, MO","29510","2024","2024","7th to final month","3",240
,"St. Louis city, MO","29510","2024","2024","No prenatal care","4",213
,"Unidentified Counties, MO","29999","2016","2016","1st to 3rd month","1",20927
,"Unidentified Counties, MO","29999","2016","2016","4th to 6th month","2",4800
,"Unidentified Counties, MO","29999","2016","2016","7th to final month","3",1158
,"Unidentified Counties, MO","29999","2016","2016","No prenatal care","4",268
,"Unidentified Counties, MO","29999","2017","2017","1st to 3rd month","1",20830
,"Unidentified Counties, MO","29999","2017","2017","4th to 6th month","2",4703
,"Unidentified Counties, MO","29999","2017","2017","7th to final month","3",1143
,"Unidentified Counties, MO","29999","2017","2017","No prenatal care","4",274
,"Unidentified Counties, MO","29999","2018","2018","1st to 3rd month","1",21297
,"Unidentified Counties, MO","29999","2018","2018","4th to 6th month","2",4961
,"Unidentified Counties, MO","29999","2018","2018","7th to final month","3",1213
,"Unidentified Counties, MO","29999","2018","2018","No prenatal care","4",351
,"Unidentified Counties, MO","29999","2019","2019","1st to 3rd month","1",20966
,"Unidentified Counties, MO","29999","2019","2019","4th to 6th month","2",4372
,"Unidentified Counties, MO","29999","2019","2019","7th to final month","3",1224
,"Unidentified Counties, MO","29999","2019","2019","No prenatal care","4",370
,"Unidentified Counties, MO","29999","2020","2020","1st to 3rd month","1",20231
,"Unidentified Counties, MO","29999","2020","2020","4th to 6th month","2",4379
,"Unidentified Counties, MO","29999","2020","2020","7th to final month","3",1068
,"Unidentified Counties, MO","29999","2020","2020","No prenatal care","4",364
,"Unidentified Counties, MO","29999","2021","2021","1st to 3rd month","1",21022
,"Unidentified Counties, MO","29999","2021","2021","4th to 6th month","2",3955
,"Unidentified Counties, MO","29999","2021","2021","7th to final month","3",1066
,"Unidentified Counties, MO","29999","2021","2021","No prenatal care","4",328
,"Unidentified Counties, MO","29999","2022","2022","1st to 3rd month","1",20809
,"Unidentified Counties, MO","29999","2022","2022","4th to 6th month","2",4206
,"Unidentified Counties, MO","29999","2022","2022","7th to final month","3",1039
,"Unidentified Counties, MO","29999","2022","2022","No prenatal care","4",353
,"Unidentified Counties, MO","29999","2023","2023","1st to 3rd month","1",20901
,"Unidentified Counties, MO","29999","2023","2023","4th to 6th month","2",4242
,"Unidentified Counties, MO","29999","2023","2023","7th to final month","3",1036
,"Unidentified Counties, MO","29999","2023","2023","No prenatal care","4",368
,"Unidentified Counties, MO","29999","2024","2024","1st to 3rd month","1",20796
,"Unidentified Counties, MO","29999","2024","2024","4th to 6th month","2",4460
,"Unidentified Counties, MO","29999","2024","2024","7th to final month","3",975
,"Unidentified Counties, MO","29999","2024","2024","No prenatal care","4",350
"---"
"Dataset: Natality, 2016-2024 expanded"
"Query Parameters:"
"Gestational Diabetes: Yes; No"
"Gestational Hypertension: Yes; No"
"Marital Status: Married; Unmarried"
"Mother's Education: 8th grade or less; 9th through 12th grade with no diploma; High school graduate or GED completed; Some"
"college credit, but not a degree; Associate degree (AA, AS); Bachelor's degree (BA, AB, BS); Master's degree (MA, MS, MEng, MEd,"
"MSW, MBA); Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)"
"Mother's Hispanic Origin: Hispanic or Latino; Not Hispanic or Latino"
"Mother's Pre-pregnancy BMI: Underweight <18.5; Normal 18.5-24.9; Overweight 25.0-29.9; Obesity I 30.0-34.9; Obesity II"
"35.0-39.9; Extreme Obesity III > 39.9"
"Mother's Single Race 6: American Indian or Alaska Native; Asian; Black or African American; Native Hawaiian or Other Pacific"
"Islander; White; More than one race"
"Number of Prenatal Visits Recode: No visits; 1 to 2 visits; 3 to 4 visits; 5 to 6 visits; 7 to 8 visits; 9 to 10 visits; 11 to"
