"Notes","County of Residence","County of Residence Code","Year","Year Code","Number of Prenatal Visits Recode","Number of Prenatal Visits Recode Code",Births
,"Clay County, MO","29047","2019","2019","15 to 16 visits","9",221
,"Clay County, MO","29047","2019","2019","17 to 18 visits","10",42
,"Clay County, MO","29047","2019","2019","19 or more visits","11",35
,"Clay County, MO","29047","2020","2020","No visits","1",36
,"Clay County, MO","29047","2020","2020","1 to 2 visits","2",28
,"Clay County, MO","29047","2020","2020","3 to 4 visits","3",50
,"Clay County, MO","29047","2020","2020","5 to 6 visits","4",108
,"Clay County, MO","29047","2020","2020","7 to 8 visits","5",232
,"Clay County, MO","29047","2020","2020","9 to 10 visits","6",553
,"Clay County, MO","29047","2020","2020","11 to 12 visits","7",940
,"Clay County, MO","29047","2020","2020","13 to 14 visits","8",617
,"Clay County, MO","29047","2020","2020","15 to 16 visits","9",154
,"Clay County, MO","29047","2020","2020","17 to 18 visits","10",37
,"Clay County, MO","29047","2020","2020","19 or more visits","11",36
,"Clay County, MO","29047","2021","2021","No visits","1",32
,"Clay County, MO","29047","2021","2021","1 to 2 visits","2",17
,"Clay County, MO","29047","2021","2021","3 to 4 visits","3",42
,"Clay County, MO","29047","2021","2021","5 to 6 visits","4",94
,"Clay County, MO","29047","2021","2021","7 to 8 visits","5",181
,"Clay County, MO","29047","2021","2021","9 to 10 visits","6",480
,"Clay County, MO","29047","2021","2021","11 to 12 visits","7",943
,"Clay County, MO","29047","2021","2021","13 to 14 visits","8",622
,"Clay County, MO","29047","2021","2021","15 to 16 visits","9",141
,"Clay County, MO","29047","2021","2021","17 to 18 visits","10",33
,"Clay County, MO","29047","2021","2021","19 or more visits","11",41
,"Clay County, MO","29047","2022","2022","No visits","1",22
,"Clay County, MO","29047","2022","2022","1 to 2 visits","2",28
,"Clay County, MO","29047","2022","2022","3 to 4 visits","3",50
,"Clay County, MO","29047","2022","2022","5 to 6 visits","4",100
,"Clay County, MO","29047","2022","2022","7 to 8 visits","5",208
,"Clay County, MO","29047","2022","2022","9 to 10 visits","6",537
,"Clay County, MO","29047","2022","2022","11 to 12 visits","7",980
,"Clay County, MO","29047","2022","2022","13 to 14 visits","8",606
,"Clay County, MO","29047","2022","2022","15 to 16 visits","9",151
,"Clay County, MO","29047","2022","2022","17 to 18 visits","10",23
,"Clay County, MO","29047","2022","2022","19 or more visits","11",35
,"Clay County, MO","29047","2023","2023","No visits","1",41
,"Clay County, MO","29047","2023","2023","1 to 2 visits","2",30
,"Clay County, MO","29047","2023","2023","3 to 4 visits","3",54
,"Clay County, MO","29047","2023","2023","5 to 6 visits","4",89
,"Clay County, MO","29047","2023","2023","7 to 8 visits","5",224
,"Clay County, MO","29047","2023","2023","9 to 10 visits","6",484
,"Clay County, MO","29047","2023","2023","11 to 12 visits","7",989
,"Clay County, MO","29047","2023","2023","13 to 14 visits","8",623
,"Clay County, MO","29047","2023","2023","15 to 16 visits","9",107
,"Clay County, MO","29047","2023","2023","17 to 18 visits","10",20
,"Clay County, MO","29047","2023","2023","19 or more visits","11",16
,"Clay County, MO","29047","2024","2024","No visits","1",31
,"Clay County, MO","29047","2024","2024","1 to 2 visits","2",39
,"Clay County, MO","29047","2024","2024","3 to 4 visits","3",54
,"Clay County, MO","29047","2024","2024","5 to 6 visits","4",96
,"Clay County, MO","29047","2024","2024","7 to 8 visits","5",240
,"Clay County, MO","29047","2024","2024","9 to 10 visits","6",529
,"Clay County, MO","29047","2024","2024","11 to 12 visits","7",1007
,"Clay County, MO","29047","2024","2024","13 to 14 visits","8",647
,"Clay County, MO","29047","2024","2024","15 to 16 visits","9",139
,"Clay County, MO","29047","2024","2024","17 to 18 visits","10",23
,"Franklin County, MO","29071","2016","2016","1 to 2 visits","2",10
,"Franklin County, MO","29071","2016","2016","3 to 4 visits","3",14
,"Franklin County, MO","29071","2016","2016","5 to 6 visits","4",50
,"Franklin County, MO","29071","2016","2016","7 to 8 visits","5",52
,"Franklin County, MO","29071","2016","2016","9 to 10 visits","6",167
,"Franklin County, MO","29071","2016","2016","11 to 12 visits","7",394
,"Franklin County, MO","29071","2016","2016","13 to 14 visits","8",290
,"Franklin County, MO","29071","2016","2016","15 to 16 visits","9",114
,"Franklin County, MO","29071","2016","2016","17 to 18 visits","10",27
,"Franklin County, MO","29071","2016","2016","19 or more visits","11",16
,"Franklin County, MO","29071","2017","2017","3 to 4 visits","3",11
,"Franklin County, MO","29071","2017","2017","5 to 6 visits","4",30
,"Franklin County, MO","29071","2017","2017","7 to 8 visits","5",57
,"Franklin County, MO","29071","2017","2017","9 to 10 visits","6",165
,"Franklin County, MO","29071","2017","2017","11 to 12 visits","7",385
,"Franklin County, MO","29071","2017","2017","13 to 14 visits","8",337
,"Franklin County, MO","29071","2017","2017","15 to 16 visits","9",112
,"Franklin County, MO","29071","2017","2017","17 to 18 visits","10",17
,"Franklin County, MO","29071","2017","2017","19 or more visits","11",16
,"Franklin County, MO","29071","2018","2018","3 to 4 visits","3",14
,"Franklin County, MO","29071","2018","2018","5 to 6 visits","4",43
,"Franklin County, MO","29071","2018","2018","7 to 8 visits","5",67
,"Franklin County, MO","29071","2018","2018","9 to 10 visits","6",166
,"Franklin County, MO","29071","2018","2018","11 to 12 visits","7",333
,"Franklin County, MO","29071","2018","2018","13 to 14 visits","8",297
,"Franklin County, MO","29071","2018","2018","15 to 16 visits","9",90
,"Franklin County, MO","29071","2018","2018","17 to 18 visits","10",32
,"Franklin County, MO","29071","2018","2018","19 or more visits","11",21
,"Franklin County, MO","29071","2019","2019","1 to 2 visits","2",20
,"Franklin County, MO","29071","2019","2019","3 to 4 visits","3",17
,"Franklin County, MO","29071","2019","2019","5 to 6 visits","4",32
,"Franklin County, MO","29071","2019","2019","7 to 8 visits","5",81
,"Franklin County, MO","29071","2019","2019","9 to 10 visits","6",187
,"Franklin County, MO","29071","2019","2019","11 to 12 visits","7",337
,"Franklin County, MO","29071","2019","2019","13 to 14 visits","8",305
,"Franklin County, MO","29071","2019","2019","15 to 16 visits","9",87
,"Franklin County, MO","29071","2019","2019","17 to 18 visits","10",27
,"Franklin County, MO","29071","2019","2019","19 or more visits","11",23
,"Franklin County, MO","29071","2020","2020","No visits","1",11
,"Franklin County, MO","29071","2020","2020","3 to 4 visits","3",17
,"Franklin County, MO","29071","2020","2020","5 to 6 visits","4",44
,"Franklin County, MO","29071","2020","2020","7 to 8 visits","5",110
,"Franklin County, MO","29071","2020","2020","9 to 10 visits","6",197
,"Franklin County, MO","29071","2020","2020","11 to 12 visits","7",319
,"Franklin County, MO","29071","2020","2020","13 to 14 visits","8",199
,"Franklin County, MO","29071","2020","2020","15 to 16 visits","9",58
,"Franklin County, MO","29071","2020","2020","17 to 18 visits","10",13
,"Franklin County, MO","29071","2020","2020","19 or more visits","11",24
,"Franklin County, MO","29071","2021","2021","No visits","1",11
,"Franklin County, MO","29071","2021","2021","5 to 6 visits","4",27
,"Franklin County, MO","29071","2021","2021","7 to 8 visits","5",74
,"Franklin County, MO","29071","2021","2021","9 to 10 visits","6",188
,"Franklin County, MO","29071","2021","2021","11 to 12 visits","7",346
,"Franklin County, MO","29071","2021","2021","13 to 14 visits","8",237
,"Franklin County, MO","29071","2021","2021","15 to 16 visits","9",64
,"Franklin County, MO","29071","2021","2021","17 to 18 visits","10",20
,"Franklin County, MO","29071","2021","2021","19 or more visits","11",24
,"Franklin County, MO","29071","2022","2022","1 to 2 visits","2",12
,"Franklin County, MO","29071","2022","2022","3 to 4 visits","3",21
,"Franklin County, MO","29071","2022","2022","5 to 6 visits","4",24
,"Franklin County, MO","29071","2022","2022","7 to 8 visits","5",76
,"Franklin County, MO","29071","2022","2022","9 to 10 visits","6",218
,"Franklin County, MO","29071","2022","2022","11 to 12 visits","7",344
,"Franklin County, MO","29071","2022","2022","13 to 14 visits","8",221
,"Franklin County, MO","29071","2022","2022","15 to 16 visits","9",70
,"Franklin County, MO","29071","2022","2022","17 to 18 visits","10",12
,"Franklin County, MO","29071","2022","2022","19 or more visits","11",23
,"Franklin County, MO","29071","2023","2023","No visits","1",10
,"Franklin County, MO","29071","2023","2023","1 to 2 visits","2",12
,"Franklin County, MO","29071","2023","2023","3 to 4 visits","3",13
,"Franklin County, MO","29071","2023","2023","5 to 6 visits","4",35
,"Franklin County, MO","29071","2023","2023","7 to 8 visits","5",72
,"Franklin County, MO","29071","2023","2023","9 to 10 visits","6",211
,"Franklin County, MO","29071","2023","2023","11 to 12 visits","7",372
,"Franklin County, MO","29071","2023","2023","13 to 14 visits","8",215
,"Franklin County, MO","29071","2023","2023","15 to 16 visits","9",57
