"Notes","County of Residence","County of Residence Code","Year","Year Code","Mother's Education","Mother's Education Code",Births
,"Franklin County, MO","29071","2017","2017","9th through 12th grade with no diploma","2",114
,"Franklin County, MO","29071","2017","2017","High school graduate or GED completed","3",272
,"Franklin County, MO","29071","2017","2017","Some college credit, but not a degree","4",297
,"Franklin County, MO","29071","2017","2017","Associate degree (AA, AS)","5",143
,"Franklin County, MO","29071","2017","2017","Bachelor's degree (BA, AB, BS)","6",217
,"Franklin County, MO","29071","2017","2017","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",76
,"Franklin County, MO","29071","2017","2017","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",13
,"Franklin County, MO","29071","2018","2018","9th through 12th grade with no diploma","2",95
,"Franklin County, MO","29071","2018","2018","High school graduate or GED completed","3",250
,"Franklin County, MO","29071","2018","2018","Some college credit, but not a degree","4",289
,"Franklin County, MO","29071","2018","2018","Associate degree (AA, AS)","5",132
,"Franklin County, MO","29071","2018","2018","Bachelor's degree (BA, AB, BS)","6",205
,"Franklin County, MO","29071","2018","2018","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",86
,"Franklin County, MO","29071","2018","2018","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",10
,"Franklin County, MO","29071","2019","2019","8th grade or less","1",12
,"Franklin County, MO","29071","2019","2019","9th through 12th grade with no diploma","2",117
,"Franklin County, MO","29071","2019","2019","High school graduate or GED completed","3",259
,"Franklin County, MO","29071","2019","2019","Some college credit, but not a degree","4",280
,"Franklin County, MO","29071","2019","2019","Associate degree (AA, AS)","5",154
,"Franklin County, MO","29071","2019","2019","Bachelor's degree (BA, AB, BS)","6",218
,"Franklin County, MO","29071","2019","2019","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",63
,"Franklin County, MO","29071","2019","2019","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",19
,"Franklin County, MO","29071","2020","2020","9th through 12th grade with no diploma","2",109
,"Franklin County, MO","29071","2020","2020","High school graduate or GED completed","3",229
,"Franklin County, MO","29071","2020","2020","Some college credit, but not a degree","4",244
,"Franklin County, MO","29071","2020","2020","Associate degree (AA, AS)","5",140
,"Franklin County, MO","29071","2020","2020","Bachelor's degree (BA, AB, BS)","6",167
,"Franklin County, MO","29071","2020","2020","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",93
,"Franklin County, MO","29071","2020","2020","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",10
,"Franklin County, MO","29071","2021","2021","9th through 12th grade with no diploma","2",86
,"Franklin County, MO","29071","2021","2021","High school graduate or GED completed","3",243
,"Franklin County, MO","29071","2021","2021","Some college credit, but not a degree","4",224
,"Franklin County, MO","29071","2021","2021","Associate degree (AA, AS)","5",156
,"Franklin County, MO","29071","2021","2021","Bachelor's degree (BA, AB, BS)","6",203
,"Franklin County, MO","29071","2021","2021","Master's degree (MA, MS, MEng, MEd, MSW, MBA)","7",69
,"Franklin County, MO","29071","2021","2021","Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)","8",23
,"Franklin County, MO","29071","2022","2022","9th through 12th grade with no diploma","2",88
