Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Education Status:  Less Than 12 Years;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,,
Macon,24,15.00,,31,16.06,,32,18.39,,25,15.34,,26,14.53,,29,17.26,,28,15.64,,33,18.86,,25,16.03,,253,16.35,,,
Madison,25,16.78,,17,12.50,*,22,14.57,,12,9.84,*,21,15.91,,15,11.28,*,14,11.48,*,16,13.91,*,15,10.87,*,157,13.11,,,
Maries,8,11.11,*,10,13.70,*,10,10.99,*,15,16.48,*,15,14.85,*,11,11.46,*,14,14.14,*,14,15.91,*,13,12.26,*,110,13.46,,,
Marion,41,11.88,,42,11.60,,38,10.76,,53,14.76,,28,9.33,,41,12.17,,36,11.29,,29,8.84,,37,11.94,,345,11.45,,,
McDonald,122,32.97,,101,28.86,,104,28.81,,88,28.66,,78,24.92,,97,29.13,,89,28.25,,71,22.47,,72,23.15,,822,27.62,,,
Mercer,13,27.66,*,19,34.55,*,13,30.23,*,18,38.30,*,16,34.78,*,21,50.00,,25,42.37,,14,34.15,*,22,39.29,,161,36.93,,,
Miller,37,12.29,,33,11.62,,48,14.33,,38,12.67,,44,14.72,,39,12.46,,43,14.58,,41,15.02,,30,11.45,,353,13.26,,,
Mississippi,30,20.55,,33,22.45,,19,12.03,*,30,19.87,,20,13.79,,18,13.64,*,30,19.87,,23,16.79,,22,16.79,,225,17.33,,,
Moniteau,58,30.37,,47,23.27,,51,24.40,,56,30.11,,46,24.47,,54,28.42,,62,29.25,,49,25.93,,47,25.82,,470,26.87,,,
Monroe,22,19.82,,9,10.23,*,19,20.21,*,11,12.22,*,15,15.31,*,15,16.85,*,14,14.43,*,15,18.99,*,22,25.88,,142,17.09,,,
Montgomery,16,13.01,*,18,15.52,*,16,10.81,*,17,13.49,*,17,14.17,*,19,13.97,*,14,12.61,*,14,12.50,*,9,9.09,*,140,12.83,,,
Morgan,104,40.94,,107,37.94,,109,40.82,,93,39.91,,105,38.60,,97,38.34,,118,44.36,,87,33.85,,97,38.65,,917,39.27,,,
New Madrid,35,15.22,,35,14.58,,26,13.47,,44,17.96,,33,16.58,,28,13.93,,23,13.14,,26,14.53,,24,12.77,,274,14.81,,,
Newton,133,18.84,,110,15.87,,104,14.23,,120,17.02,,119,18.48,,120,17.39,,136,19.24,,131,18.02,,115,16.96,,1088,17.32,,,
Nodaway,13,5.42,*,8,4.00,*,12,5.85,*,10,4.76,*,11,5.24,*,14,6.17,*,16,8.12,*,10,4.93,*,13,6.25,*,107,5.63,,,
Oregon,25,21.19,,15,14.56,*,20,15.50,,21,19.63,,14,13.33,*,22,19.30,,22,22.45,,16,15.09,*,25,22.32,,180,18.15,,,
Osage,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,86,6.14,,,
Ozark,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,100,13.91,,,
Pemiscot,58,22.66,,52,20.23,,41,18.30,,47,19.58,,32,14.16,,42,19.27,,32,16.24,,48,26.97,,44,22.34,,396,19.87,,,
Perry,27,12.33,,28,12.56,,20,8.70,,27,12.68,,18,8.91,*,20,9.09,,15,7.89,*,28,13.15,,27,13.43,,210,10.99,,,
