Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Service Utilization:  Mother on Medicaid;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Howell,312,64.33,,296,57.25,,318,60.80,,274,59.05,,300,63.16,,298,66.67,,281,63.43,,282,62.39,,315,65.35,,2676,62.41,,
Iron,69,68.32,,69,66.99,,64,67.37,,45,54.88,,36,62.07,,34,41.98,,50,59.52,,53,56.38,,53,57.61,,473,59.87,,
Jackson,4111,44.80,,4255,46.57,,4140,46.28,,4041,46.03,,4107,47.34,,3847,46.85,,3876,45.65,,4007,46.98,,3822,44.83,,36206,46.14,,
Jasper,853,51.32,,784,49.28,,722,46.13,,714,46.61,,756,50.10,,762,49.13,,809,50.82,,863,55.18,,833,54.02,,7096,50.30,,
Jefferson,759,29.43,,725,30.15,,757,31.14,,720,29.68,,709,30.52,,659,28.33,,635,28.27,,640,27.52,,610,26.26,,6214,29.06,,
Johnson,142,20.46,,162,22.88,,174,25.14,,162,23.55,,178,27.01,,166,23.71,,156,21.94,,182,26.57,,159,24.16,,1481,23.91,,
Knox,14,29.17,*,14,26.42,*,9,15.79,*,17,27.87,*,11,24.44,*,14,32.56,*,17,34.00,*,15,30.00,*,13,25.49,*,124,27.07,,
Laclede,261,51.48,,272,55.51,,290,62.23,,289,58.98,,242,56.15,,295,61.20,,262,57.71,,289,63.38,,259,60.23,,2459,58.46,,
Lafayette,150,42.25,,140,39.66,,149,38.90,,166,41.19,,136,37.78,,134,39.41,,137,36.44,,157,43.85,,117,32.96,,1286,39.17,,
Lawrence,234,44.83,,213,42.09,,234,44.66,,231,47.34,,219,45.06,,212,44.17,,220,43.31,,235,47.76,,228,45.06,,2026,44.90,,
Lewis,48,42.48,,44,35.20,,39,29.10,,31,31.63,,22,24.44,,25,28.09,,25,29.07,,19,20.00,*,16,23.19,*,269,29.92,,
Lincoln,254,34.42,,207,28.13,,224,27.93,,227,27.99,,180,24.76,,222,28.17,,221,26.37,,173,22.70,,186,22.09,,1894,26.89,,
Linn,36,28.80,,35,26.72,,54,42.19,,57,40.71,,60,46.88,,58,42.34,,63,48.84,,57,44.19,,74,45.40,,494,40.83,,
Livingston,75,46.58,,63,39.13,,59,39.86,,66,43.71,,91,50.56,,79,50.00,,65,43.05,,68,44.16,,82,46.07,,648,44.94,,
Macon,40,25.00,,51,26.42,,45,25.14,,48,29.27,,62,34.44,,59,35.12,,81,45.25,,69,39.20,,63,40.65,,518,33.33,,
Madison,81,55.48,,66,49.25,,92,62.59,,39,41.05,,30,44.78,,65,55.08,,59,48.76,,64,55.65,,63,45.65,,559,51.71,,
Maries,24,33.33,,22,30.56,,29,31.87,,29,31.87,,31,31.00,,25,26.04,,27,27.27,,30,34.48,,28,26.67,,245,30.14,,
Marion,141,40.63,,154,42.66,,156,44.19,,144,40.00,,130,43.33,,135,40.06,,129,40.31,,141,42.99,,135,43.55,,1265,41.94,,
McDonald,199,53.78,,203,57.51,,188,51.93,,161,52.27,,165,53.23,,176,53.17,,189,60.38,,183,57.37,,185,58.54,,1649,55.30,,
Mercer,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,104,24.13,,
Miller,127,42.47,,131,46.29,,169,50.45,,149,49.67,,136,45.64,,155,49.68,,146,49.66,,134,49.08,,129,48.86,,1276,48.01,,
Mississippi,101,69.18,,104,72.22,,92,58.23,,98,65.33,,88,60.27,,70,53.44,,93,61.18,,86,61.87,,77,58.78,,809,62.37,,
Moniteau,56,29.17,,51,25.25,,47,22.49,,42,22.70,,52,27.66,,54,28.42,,56,26.42,,58,30.69,,54,29.67,,470,26.87,,
Monroe,43,39.45,,30,34.09,,39,41.94,,33,36.67,,39,39.80,,33,37.08,,36,37.11,,36,45.57,,29,34.12,,318,38.41,,
Montgomery,54,43.55,,49,43.36,,66,44.90,,57,45.24,,49,40.83,,54,40.30,,40,36.04,,41,37.27,,41,41.84,,451,41.64,,
Morgan,90,35.43,,119,42.20,,96,35.96,,88,37.61,,105,38.89,,107,42.29,,101,37.97,,127,49.42,,89,35.32,,922,39.49,,
New Madrid,152,66.09,,151,63.71,,127,66.49,,145,59.18,,122,61.31,,130,64.36,,117,66.48,,106,58.89,,96,51.06,,1146,62.01,,
Newton,313,44.27,,309,44.40,,303,41.45,,339,48.29,,319,49.77,,331,48.39,,361,51.42,,354,48.29,,348,51.18,,2977,47.43,,
Nodaway,56,23.53,,57,28.64,,44,21.46,,64,30.62,,54,25.71,,66,28.95,,53,26.90,,52,25.62,,58,28.02,,504,26.58,,
Oregon,79,66.95,,61,58.65,,75,58.14,,67,62.62,,73,69.52,,73,63.48,,61,62.24,,66,62.26,,63,56.25,,618,62.17,,
Osage,40,21.98,,24,15.69,,31,21.68,,22,15.38,,31,24.03,,27,16.67,,35,20.96,,34,20.24,,36,23.84,,280,20.03,,
Ozark,52,61.18,,43,44.33,,38,48.72,,35,53.03,,24,36.92,,36,46.75,,29,37.66,,45,52.33,,37,41.57,,339,47.08,,
Pemiscot,203,79.92,,196,77.17,,182,81.25,,156,66.10,,165,73.33,,138,65.09,,121,63.68,,111,62.01,,103,53.09,,1375,69.87,,
