Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Prenatal Care:  Began First Trimester;,
Year:,2016,2016,,2017,2017,,2018,2018,2019,2019,,2020,2020,,2021,2021,,2022,2022,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,Count,Rate,,Count,Rate,,Count,Rate,,
County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,279,80.87,,269,75.35,,287,83.19,293,82.30,,252,85.42,,282,84.68,,256,80.00,265,81.04,,236,76.38,,2419,80.98,,
McDonald,225,61.81,,223,63.71,,231,64.53,176,58.67,,179,59.27,,185,57.45,,177,57.10,186,59.62,,176,56.05,,1758,59.96,,
Mercer,25,62.50,,30,60.00,,23,63.89,28,63.64,,26,57.78,,13,30.95,*,35,62.50,25,60.98,,26,50.00,,231,56.90,,
Miller,233,80.62,,206,75.46,,256,77.34,217,74.32,,208,71.97,,226,73.86,,233,79.79,225,83.03,,221,84.35,,2025,77.74,,
Mississippi,90,63.83,,100,68.97,,111,70.70,108,71.52,,112,78.32,,95,73.64,,120,80.54,104,75.36,,100,76.92,,940,73.27,,
Moniteau,115,62.16,,140,71.07,,157,76.96,129,72.47,,130,71.43,,137,73.26,,153,75.74,135,72.58,,136,75.56,,1232,72.43,,
Monroe,80,74.07,,61,69.32,,72,77.42,66,74.16,,70,73.68,,67,77.01,,70,73.68,60,78.95,,62,74.70,,608,74.69,,
Montgomery,83,69.17,,78,69.03,,112,77.78,88,73.33,,75,65.22,,92,68.66,,70,67.96,82,73.87,,72,75.79,,752,71.28,,
Morgan,156,62.15,,181,65.34,,166,63.12,139,60.96,,171,64.04,,161,66.53,,167,64.73,176,70.12,,176,72.13,,1493,65.45,,
New Madrid,168,73.36,,171,73.39,,120,64.17,181,73.88,,139,70.56,,139,70.92,,118,68.21,134,74.86,,155,82.45,,1325,72.52,,
Newton,500,72.36,,489,70.66,,500,69.35,500,71.94,,465,73.34,,497,73.63,,495,70.71,508,69.68,,473,69.97,,4427,71.25,,
Nodaway,191,80.25,,158,82.29,,166,83.42,160,76.56,,174,83.25,,190,85.20,,168,86.15,164,80.79,,169,81.25,,1540,82.09,,
Oregon,82,72.57,,73,70.87,,89,69.53,70,66.04,,67,65.69,,76,67.86,,69,71.13,71,67.62,,75,68.18,,672,68.85,,
Osage,146,82.02,,127,85.23,,118,83.69,119,83.80,,103,81.10,,132,81.99,,142,88.20,142,86.06,,125,84.46,,1154,84.11,,
Ozark,57,68.67,,57,60.64,,47,61.04,39,61.90,,38,59.38,,50,66.67,,49,67.12,51,61.45,,53,61.63,,441,63.18,,
Pemiscot,146,60.33,,170,67.19,,130,61.03,141,60.26,,143,64.71,,131,61.50,,118,61.14,115,65.34,,134,71.28,,1228,63.53,,
Perry,169,78.60,,165,75.34,,185,81.14,171,80.66,,152,75.25,,181,83.41,,150,80.21,154,74.40,,157,78.50,,1484,78.64,,
Pettis,334,64.11,,408,69.51,,378,64.40,388,65.65,,337,61.95,,382,65.75,,355,66.60,390,66.33,,324,62.07,,3296,65.22,,
Phelps,360,74.38,,362,77.35,,342,74.84,294,71.88,,272,69.92,,282,68.12,,304,69.57,251,64.52,,274,61.16,,2741,70.37,,
Pike,147,71.01,,152,70.05,,156,75.00,130,68.42,,143,72.22,,141,72.31,,118,67.43,129,72.47,,129,68.25,,1245,70.86,,
Platte,889,74.46,,860,74.65,,883,74.20,885,74.18,,844,73.39,,950,78.58,,881,76.28,847,75.76,,842,72.27,,7881,74.87,,
Polk,268,73.02,,267,71.97,,323,78.02,315,73.43,,284,76.76,,271,71.50,,267,72.75,293,72.52,,271,69.49,,2559,73.30,,
Pulaski,524,67.27,,407,69.81,,317,65.36,437,70.60,,511,73.42,,501,71.16,,473,70.07,443,69.00,,445,68.99,,4058,69.63,,
Putnam,57,91.94,,37,67.27,,48,80.00,37,78.72,,53,81.54,,34,70.83,,46,68.66,43,70.49,,27,72.97,,382,76.10,,
Ralls,81,81.00,,95,84.07,,77,83.70,82,90.11,,80,80.00,,81,82.65,,82,82.83,62,82.67,,75,78.13,,715,82.75,,
Randolph,219,76.84,,224,77.24,,232,75.32,186,69.40,,187,75.40,,195,70.65,,210,74.73,212,76.81,,201,84.45,,1866,75.55,,
Ray,177,72.54,,176,66.92,,180,70.31,180,74.38,,185,71.15,,200,79.68,,186,77.18,190,76.92,,175,77.43,,1649,73.95,,
Reynolds,30,62.50,,41,70.69,,52,74.29,47,69.12,,44,61.11,,40,76.92,,47,71.21,39,68.42,,39,79.59,,379,70.19,,
Ripley,113,66.08,,93,67.39,,109,69.87,116,74.84,,108,72.00,,102,74.45,,97,77.60,112,75.17,,111,73.03,,961,72.09,,
Saline,179,77.83,,181,78.35,,173,70.90,192,74.13,,181,71.83,,177,77.29,,194,78.86,202,78.29,,172,74.14,,1651,75.70,,
Schuyler,51,73.91,,56,70.00,,37,57.81,38,58.46,,34,50.75,,30,53.57,,40,64.52,37,61.67,,41,63.08,,364,61.90,,
Scotland,51,57.30,,53,66.25,,44,59.46,43,57.33,,44,57.14,,48,55.17,,45,55.56,45,54.88,,50,59.52,,423,58.02,,
Scott,361,76.48,,340,70.25,,345,71.43,345,71.28,,357,73.76,,347,76.10,,350,76.59,367,82.29,,347,79.77,,3159,75.20,,
Shannon,64,72.73,,67,74.44,,69,71.88,63,72.41,,60,77.92,,53,70.67,,65,68.42,61,70.11,,52,68.42,,554,71.85,,
Shelby,59,74.68,,55,77.46,,71,86.59,60,83.33,,50,81.97,,53,84.13,,51,77.27,64,79.01,,59,73.75,,522,79.69,,
St. Charles,3498,82.79,,3322,79.66,,3361,82.14,3287,79.28,,3074,78.08,,3127,77.52,,2996,73.52,2816,73.35,,2886,72.17,,28367,77.68,,
St. Clair,79,70.54,,70,74.47,,72,75.00,52,58.43,,68,67.33,,69,61.06,,77,66.96,79,69.30,,80,66.12,,646,67.64,,
St. Francois,454,68.58,,453,65.65,,450,67.06,432,66.67,,451,65.94,,482,72.70,,447,70.39,472,70.34,,506,74.30,,4147,69.06,,
St. Louis City,2669,71.25,,2264,68.09,,2013,60.85,2040,56.81,,2027,61.57,,2050,59.99,,1830,56.66,1771,55.14,,1757,58.03,,18421,61.10,,
St. Louis County,8103,77.45,,7275,73.84,,7118,71.59,7428,70.42,,6853,70.44,,7045,71.62,,6728,66.82,6165,65.46,,6339,66.01,,63054,70.48,,
Ste. Genevieve,124,67.76,,138,75.00,,162,75.00,142,72.82,,148,74.37,,136,73.51,,135,77.59,127,70.95,,131,74.86,,1243,73.55,,
