Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Smoked During Pregnancy:  Yes;,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,
Schuyler,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,63,10.48,,
Scotland,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,53,7.21,,
Scott,94,19.71,,102,21.12,,100,20.33,,109,22.38,,81,16.63,,77,16.78,,55,11.90,,45,10.07,,39,9.03,,702,16.61,,
Shannon,18,20.22,*,22,22.92,,21,21.88,,23,26.14,,16,19.75,*,14,18.67,*,15,16.13,*,13,14.29,*,12,16.90,*,154,19.74,,
Shelby,16,20.00,*,10,14.08,*,9,10.98,*,9,12.50,*,11,18.33,*,10,15.87,*,6,9.09,*,6,7.41,*,13,16.05,*,90,13.72,,
St. Charles,395,8.90,,343,7.76,,305,7.13,,259,6.05,,234,5.81,,167,4.03,,111,2.68,,93,2.38,,51,1.25,,1958,5.19,,
St. Clair,23,20.18,,15,15.79,*,14,14.43,*,19,20.43,*,20,19.61,,14,12.17,*,16,13.79,*,7,6.14,*,8,6.45,*,136,14.02,,
St. Francois,187,27.06,,200,28.17,,175,25.47,,156,23.74,,134,19.59,,128,19.36,,91,14.17,,77,11.49,,77,11.22,,1225,20.12,,
St. Louis City,519,12.17,,453,11.08,,419,10.24,,364,9.37,,341,9.12,,287,7.91,,223,6.81,,166,5.21,,136,4.39,,2908,8.74,,
St. Louis County,895,7.75,,748,6.67,,724,6.44,,701,6.23,,548,5.26,,434,4.27,,399,3.93,,284,3.02,,232,2.37,,4965,5.21,,
Ste. Genevieve,42,22.11,,32,16.93,,45,20.55,,37,18.14,,32,15.76,,23,12.17,,19,10.80,*,16,8.70,*,15,8.47,*,261,15.08,,
Stoddard,67,22.04,,67,20.30,,82,23.56,,66,19.76,,85,24.01,,54,16.72,,54,16.36,,28,8.83,,30,9.80,,533,18.09,,
Stone,56,22.76,,58,22.83,,72,27.07,,51,20.08,,60,22.06,,53,19.49,,51,19.32,,35,13.41,,29,11.15,,465,19.80,,
Sullivan,24,28.92,,14,18.92,*,19,19.79,*,16,19.28,*,10,13.70,*,9,16.67,*,6,8.22,*,7,9.33,*,6,8.45,*,111,16.28,,
Taney,166,25.23,,148,24.50,,152,23.28,,128,20.45,,120,20.10,,103,18.33,,70,11.74,,82,13.71,,53,8.80,,1022,18.60,,
Texas,75,24.92,,77,26.83,,58,22.05,,63,22.91,,44,17.25,,42,14.43,,31,12.11,,24,8.60,,23,8.19,,437,17.56,,
Vernon,53,22.46,,48,20.60,,52,20.31,,38,15.77,,37,14.45,,48,19.35,,31,13.90,,21,8.68,,33,12.74,,361,16.45,,
Warren,79,18.85,,82,20.25,,70,16.39,,74,17.66,,50,13.51,,41,9.53,,31,6.84,,31,7.33,,26,5.62,,484,12.71,,
Washington,88,30.99,,89,31.23,,67,24.91,,73,27.04,,64,24.33,,59,22.43,,54,21.01,,39,17.33,,22,10.43,,555,23.85,,
Wayne,41,29.08,,45,30.20,,33,28.95,,38,27.14,,26,23.21,,29,27.62,,26,20.31,,20,18.35,,25,20.66,,283,25.29,,
Webster,67,11.57,,72,13.21,,69,11.37,,81,13.13,,61,11.17,,61,10.18,,49,7.95,,32,5.28,,27,4.18,,519,9.68,,
Worth,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,34,16.75,,
Wright,58,21.80,,55,21.48,,40,17.47,,48,18.75,,34,15.38,,45,18.44,,28,10.89,,19,7.31,*,21,7.78,,348,15.41,,
Total for selection,11290,15.25,,10452,14.46,,9993,13.74,,9133,12.77,,8195,11.94,,6853,10.08,,5424,7.99,,4434,6.71,,3594,5.35,,69368,11.04,,
Missouri,11290,15.25,,10452,14.46,,9993,13.74,,9133,12.77,,8195,11.94,,6853,10.08,,5424,7.99,,4434,6.71,,3594,5.35,,69368,11.04,,
Confidentiality:,"The ""x"" symbol indicates the confidentiality rule has been triggered.",
Rate:,Rate per 100 Numerator: Smoked During Pregnancy:  Yes   Denominator: Live Births with Known Maternal Smoking Status,
Source:,DHSS - MOPHIMS - Birth MICA,
Generated On:,7/10/2026 8:52:12 PM,
*,Rate is unreliable; numerator less than 20,
