Title:,Missouri Resident Births,
Data selected in addition to rows and columns below:,Indicator: Birth Weight:  Low (less than 2500 g);,
Year:,2016,2016,,2017,2017,,2018,2018,,2019,2019,,2020,2020,,2021,2021,,2022,2022,,2023,2023,,2024,2024,,Total for selection,Total for selection,,,
Statistics:,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,Count,Rate,,,
Maries,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,62,7.60,,,
Marion,29,8.36,,29,7.99,,28,7.91,,33,9.17,,31,10.33,,25,7.40,,34,10.63,,32,9.79,,43,13.87,,284,9.41,,,
McDonald,33,8.92,,33,9.35,,20,5.49,,29,9.42,,24,7.62,,25,7.42,,29,9.15,,40,12.42,,30,9.46,,263,8.76,,,
Mercer,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,25,5.75,,,
Miller,34,11.30,,22,7.75,,34,10.15,,22,7.33,,26,8.70,,24,7.67,,24,8.14,,24,8.76,,22,8.30,,232,8.70,,,
Mississippi,21,14.38,,21,14.19,,16,10.06,*,18,11.84,*,14,9.59,*,14,10.61,*,18,11.84,*,10,7.19,*,17,12.98,*,149,11.42,,,
Moniteau,11,5.73,*,12,5.94,*,12,5.74,*,14,7.53,*,11,5.85,*,6,3.16,*,17,8.02,*,9,4.76,*,10,5.49,*,102,5.83,,,
Monroe,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,74,8.89,,,
Montgomery,6,4.84,*,5,4.31,*,12,8.05,*,8,6.30,*,6,5.00,*,12,8.82,*,13,11.61,*,14,12.50,*,13,13.13,*,89,8.13,,,
Morgan,12,4.72,*,27,9.57,,15,5.62,*,19,8.12,*,25,9.23,,18,7.11,*,16,6.02,*,14,5.43,*,20,8.00,,166,7.11,,,
New Madrid,25,10.82,,30,12.50,,23,11.92,,22,8.94,,17,8.54,*,30,14.85,,16,9.09,*,20,11.11,,21,11.17,,204,11.00,,,
Newton,39,5.52,,65,9.33,,55,7.49,,43,6.09,,42,6.51,,48,6.94,,79,11.16,,66,9.00,,62,9.08,,499,7.91,,,
Nodaway,23,9.58,,11,5.53,*,12,5.85,*,19,9.05,*,14,6.67,*,13,5.70,*,13,6.60,*,13,6.40,*,8,3.85,*,126,6.63,,,
Oregon,16,13.56,*,12,11.54,*,11,8.53,*,7,6.54,*,8,7.62,*,10,8.70,*,9,9.09,*,10,9.43,*,6,5.36,*,89,8.94,,,
Osage,24,13.26,,8,5.23,*,7,4.90,*,7,4.90,*,11,8.53,*,13,7.98,*,11,6.59,*,8,4.73,*,9,5.96,*,98,7.01,,,
Ozark,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,67,9.31,,,
Pemiscot,31,12.16,,36,14.06,,22,9.82,,26,10.88,,28,12.33,,25,11.47,,32,16.24,,17,9.50,*,29,14.72,,246,12.35,,,
Perry,17,7.76,*,9,4.05,*,15,6.52,*,10,4.69,*,13,6.44,*,9,4.09,*,14,7.37,*,16,7.51,*,17,8.46,*,120,6.28,,,
Pettis,35,6.54,,44,7.35,,44,7.37,,53,8.83,,38,6.83,,51,8.53,,47,8.53,,31,5.18,,40,7.53,,383,7.41,,,
Phelps,47,9.49,,44,9.00,,35,7.49,,33,7.93,,34,8.59,,32,7.55,,34,7.67,,35,8.91,,39,8.61,,333,8.38,,,
Pike,18,8.37,*,21,9.42,,25,11.63,,13,6.44,*,16,7.77,*,20,9.90,,13,6.99,*,17,9.14,*,12,6.32,*,155,8.49,,,
Platte,73,5.88,,90,7.57,,91,7.47,,103,8.50,,96,8.18,,88,7.16,,85,7.28,,84,7.40,,82,6.93,,792,7.37,,,
Polk,25,6.51,,28,7.29,,26,6.15,,27,6.16,,31,8.24,,28,7.20,,18,4.83,*,30,7.37,,31,7.93,,244,6.84,,,
Pulaski,66,8.27,,52,7.51,,55,7.74,,64,8.93,,52,7.34,,49,6.61,,55,7.99,,51,7.88,,59,9.05,,503,7.92,,,
Putnam,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,35,6.90,,,
Ralls,11,10.89,*,11,9.57,*,8,8.60,*,10,10.99,*,10,10.00,*,14,14.14,*,8,8.08,*,5,6.67,*,8,8.33,*,85,9.78,,,
Randolph,31,10.44,,27,9.25,,26,8.36,,22,8.15,,26,10.28,,28,10.04,,19,6.60,*,19,6.83,*,19,7.85,*,217,8.65,,,
Ray,18,7.17,*,20,7.41,,16,5.97,*,17,6.85,*,19,7.20,*,16,6.20,*,20,8.30,,31,12.45,,29,12.61,,186,8.16,,,
Reynolds,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,44,7.96,,,
Ripley,18,10.29,*,14,10.00,*,12,7.55,*,13,8.33,*,14,9.15,*,11,7.86,*,16,12.60,*,15,10.07,*,18,11.69,*,131,9.68,,,
Saline,24,10.08,,22,9.32,,17,6.75,*,33,12.18,,17,6.56,*,20,8.33,,26,10.44,,28,10.77,,19,8.12,*,206,9.20,,,
Schuyler,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,43,7.12,,,
Scotland,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,49,6.64,,,
Scott,48,9.96,,55,11.11,,48,9.60,,49,9.98,,62,12.63,,64,13.73,,52,11.23,,53,11.78,,48,11.09,,479,11.22,,,
Shannon,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,65,8.21,,,
Shelby,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,54,8.21,,,
St. Charles,360,8.03,,343,7.69,,301,6.99,,341,7.92,,310,7.61,,295,6.99,,338,7.95,,275,6.93,,319,7.77,,2882,7.55,,,
St. Clair,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,52,5.34,,,
St. Francois,60,8.57,,74,10.22,,62,8.84,,66,9.94,,73,10.52,,67,9.90,,54,8.29,,64,9.36,,68,9.86,,588,9.51,,,
St. Louis City,584,13.52,,539,12.99,,536,12.97,,484,12.25,,476,12.55,,483,13.03,,388,11.60,,435,13.35,,385,12.27,,4310,12.75,,,
St. Louis County,1105,9.48,,1125,9.91,,1174,10.34,,1174,10.31,,1058,10.01,,1069,10.19,,1049,10.02,,1014,10.48,,974,9.81,,9742,10.06,,,
Ste. Genevieve,20,10.42,,14,7.41,*,26,11.71,,17,8.29,*,12,5.91,*,14,7.29,*,14,7.87,*,15,8.15,*,16,8.94,*,148,8.49,,,
Stoddard,22,7.14,,38,11.45,,28,8.02,,30,8.93,,37,10.42,,28,8.56,,27,8.08,,29,9.12,,31,9.54,,270,9.05,,,
Stone,24,9.76,,22,8.49,,31,11.65,,15,5.91,*,21,7.72,,22,7.94,,30,11.15,,18,6.87,*,12,4.60,*,195,8.24,,,
Sullivan,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,62,8.90,,,
Taney,62,9.41,,63,10.40,,59,9.01,,59,9.42,,46,7.69,,42,7.45,,52,8.70,,54,9.00,,61,10.07,,498,9.03,,,
Texas,19,6.33,*,26,8.93,,23,8.71,,14,5.07,*,19,7.34,*,26,8.75,,15,5.77,*,22,7.89,,20,7.12,,184,7.34,,,
Vernon,18,7.59,*,15,6.41,*,18,7.06,*,18,7.47,*,14,5.43,*,17,6.72,*,13,5.83,*,11,4.49,*,15,5.70,*,139,6.29,,,
Warren,42,9.88,,27,6.60,,25,5.81,,40,9.48,,29,7.71,,44,10.19,,31,6.68,,29,6.82,,34,7.20,,301,7.81,,,
Washington,37,12.85,,31,10.76,,23,8.42,,19,6.88,*,22,8.33,,34,12.50,,28,10.57,,20,8.85,,22,10.38,,236,9.98,,,
Wayne,6,4.23,*,17,11.33,*,7,6.09,*,20,14.08,,9,8.04,*,7,6.60,*,14,10.85,*,11,10.09,*,13,9.77,*,104,9.14,,,
Webster,34,5.81,,37,6.62,,37,6.10,,46,7.46,,42,7.64,,56,9.27,,44,7.13,,35,5.76,,51,7.87,,382,7.08,,,
Worth,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,x,x,,14,6.93,*,,
Wright,26,9.67,,13,5.02,*,16,6.99,*,21,8.20,,12,5.41,*,20,8.10,,22,8.53,,21,8.02,,15,5.56,*,166,7.31,,,
Total for selection,6499,8.71,,6357,8.71,,6411,8.75,,6379,8.85,,6037,8.72,,6158,8.89,,6303,9.14,,5985,8.93,,5973,8.81,,56102,8.83,,,
Missouri,6499,8.71,,6357,8.71,,6411,8.75,,6379,8.85,,6037,8.72,,6158,8.89,,6303,9.14,,5985,8.93,,5973,8.81,,56102,8.83,,,
Confidentiality:,"The ""x"" symbol indicates the confidentiality rule has been triggered.",
Rate:,Rate per 100 Numerator: Birth Weight:  Low (less than 2500 g)   Denominator: Live Births with Known Birth Weight,
Source:,DHSS - MOPHIMS - Birth MICA,
Generated On:,7/10/2026 8:47:57 PM,
*,Rate is unreliable; numerator less than 20,
