county,year,live_births,preterm_rate,lbw_rate,smoking_rate,early_prenatal_rate,medicaid_rate,low_education_rate
Shelby,2018,82,,,10.98,86.59,41.46,8.54
Shelby,2019,72,,,12.5,83.33,31.94,16.67
Shelby,2020,61,,,18.33,81.97,42.62,14.75
Shelby,2021,64,,,15.87,84.13,35.94,15.63
Shelby,2022,66,,,9.09,77.27,36.36,15.15
Shelby,2023,81,,,7.41,79.01,41.98,11.11
Shelby,2024,81,,,16.05,73.75,51.85,19.75
St. Charles,2016,4487,10.21,8.03,8.9,82.79,16.87,4.4
St. Charles,2017,4459,9.87,7.69,7.76,79.66,14.85,3.78
St. Charles,2018,4311,10.35,6.99,7.13,82.14,15.45,4.19
St. Charles,2019,4306,10.48,7.92,6.05,79.28,15.53,3.54
St. Charles,2020,4073,10.49,7.61,5.81,78.08,16.7,3.47
St. Charles,2021,4220,10.27,6.99,4.03,77.52,15.3,3.4
St. Charles,2022,4252,11.26,7.95,2.68,73.52,16.86,3.37
St. Charles,2023,3970,10.03,6.93,2.38,73.35,15.35,3.01
St. Charles,2024,4107,10.91,7.77,1.25,72.17,14.99,3.2
St. Clair,2016,117,8.55,,20.18,70.54,46.49,24.79
St. Clair,2017,95,7.37,,15.79,74.47,49.46,26.32
St. Clair,2018,98,10.2,,14.43,75.0,50.53,15.31
St. Clair,2019,93,10.75,,20.43,58.43,42.86,35.48
St. Clair,2020,102,8.82,,19.61,67.33,32.65,30.39
St. Clair,2021,115,4.35,,12.17,61.06,30.19,37.39
St. Clair,2022,116,6.9,,13.79,66.96,39.29,28.45
St. Clair,2023,115,6.96,,6.14,69.3,44.14,38.26
St. Clair,2024,124,5.65,,6.45,66.12,36.67,39.52
St. Francois,2016,703,14.74,8.57,27.06,68.58,56.69,16.02
St. Francois,2017,728,13.09,10.22,28.17,65.65,58.52,15.17
St. Francois,2018,701,11.6,8.84,25.47,67.06,54.05,14.06
St. Francois,2019,664,12.37,9.94,23.74,66.67,47.06,12.56
St. Francois,2020,695,12.66,10.52,19.59,65.94,36.62,13.71
St. Francois,2021,677,12.48,9.9,19.36,72.7,43.33,12.17
St. Francois,2022,651,10.17,8.29,14.17,70.39,49.38,11.06
St. Francois,2023,685,10.87,9.36,11.49,70.34,48.96,12.45
St. Francois,2024,690,12.92,9.86,11.22,74.3,50.15,12.5
St. Louis City,2016,4321,12.64,13.52,12.17,71.25,58.03,15.68
St. Louis City,2017,4151,13.67,12.99,11.08,68.09,56.54,14.64
St. Louis City,2018,4137,12.39,12.97,10.24,60.85,54.7,14.79
St. Louis City,2019,3952,12.8,12.25,9.37,56.81,53.65,15.07
St. Louis City,2020,3792,12.37,12.55,9.12,61.57,51.72,14.05
St. Louis City,2021,3707,14.08,13.03,7.91,59.99,51.95,13.18
St. Louis City,2022,3344,12.51,11.6,6.81,56.66,52.51,14.77
St. Louis City,2023,3259,13.48,13.35,5.21,55.14,51.46,14.63
St. Louis City,2024,3140,12.76,12.27,4.39,58.03,48.13,14.38
St. Louis County,2016,11673,11.48,9.48,7.75,77.45,31.39,6.78
St. Louis County,2017,11356,11.26,9.91,6.67,73.84,32.69,6.6
St. Louis County,2018,11359,12.0,10.34,6.44,71.59,32.78,7.25
St. Louis County,2019,11386,12.04,10.31,6.23,70.42,32.08,6.58
St. Louis County,2020,10575,11.93,10.01,5.26,70.44,33.67,6.23
St. Louis County,2021,10494,12.19,10.19,4.27,71.62,31.19,5.93
St. Louis County,2022,10475,12.18,10.02,3.93,66.82,33.42,6.42
St. Louis County,2023,9676,11.84,10.48,3.02,65.46,33.12,6.73
St. Louis County,2024,9927,11.3,9.81,2.37,66.01,31.46,7.27
Ste. Genevieve,2016,192,11.46,10.42,22.11,67.76,34.03,12.57
Ste. Genevieve,2017,189,11.64,7.41,16.93,75.0,31.72,10.05
Ste. Genevieve,2018,222,12.61,11.71,20.55,75.0,35.65,8.56
Ste. Genevieve,2019,205,10.73,8.29,18.14,72.82,36.0,9.31
Ste. Genevieve,2020,203,8.37,5.91,15.76,74.37,37.91,8.87
Ste. Genevieve,2021,192,9.9,7.29,12.17,73.51,30.48,7.29
Ste. Genevieve,2022,178,8.43,7.87,10.8,77.59,29.31,4.49
Ste. Genevieve,2023,184,14.13,8.15,8.7,70.95,28.02,9.34
Ste. Genevieve,2024,179,12.29,8.94,8.47,74.86,29.05,5.03
Stoddard,2016,308,11.36,7.14,22.04,71.62,58.12,16.61
Stoddard,2017,333,10.84,11.45,20.3,76.6,54.38,14.11
Stoddard,2018,349,11.82,8.02,23.56,73.04,57.76,15.47
Stoddard,2019,336,13.39,8.93,19.76,75.45,52.57,14.03
Stoddard,2020,355,14.65,10.42,24.01,74.07,56.94,16.48
Stoddard,2021,327,10.09,8.56,16.72,80.62,63.61,13.76
Stoddard,2022,334,14.37,8.08,16.36,76.29,55.99,13.29
Stoddard,2023,318,11.32,9.12,8.83,78.91,59.12,12.03
Stoddard,2024,325,15.38,9.54,9.8,84.74,55.86,13.62
Stone,2016,247,10.16,9.76,22.76,64.76,61.54,18.37
Stone,2017,259,14.67,8.49,22.83,63.45,48.84,13.18
Stone,2018,266,14.66,11.65,27.07,66.41,62.5,18.05
Stone,2019,254,9.84,5.91,20.08,68.65,59.92,12.6
Stone,2020,272,8.82,7.72,22.06,68.15,54.65,13.97
Stone,2021,277,11.59,7.94,19.49,70.33,57.09,9.39
Stone,2022,269,13.01,11.15,19.32,67.91,53.93,14.98
Stone,2023,262,9.16,6.87,13.41,66.67,61.45,7.72
Stone,2024,261,7.31,4.6,11.15,70.0,54.79,12.26
Sullivan,2016,85,14.12,,28.92,85.88,38.82,11.76
Sullivan,2017,77,19.48,,18.92,75.0,28.95,15.79
Sullivan,2018,98,21.43,,19.79,71.88,35.71,24.49
Sullivan,2019,86,12.94,,19.28,80.0,39.53,22.09
Sullivan,2020,75,12.0,,13.7,76.71,40.0,18.67
Sullivan,2021,56,14.29,,16.67,79.63,54.55,16.07
Sullivan,2022,74,8.11,,8.22,77.03,47.3,9.46
Sullivan,2023,75,10.67,,9.33,77.03,50.67,18.67
Sullivan,2024,71,7.04,,8.45,80.28,63.38,18.57
Taney,2016,659,9.71,9.41,25.23,60.63,57.1,18.09
Taney,2017,606,10.4,10.4,24.5,68.24,54.73,11.92
Taney,2018,655,10.99,9.01,23.28,67.64,65.49,15.42
Taney,2019,626,9.74,9.42,20.45,70.0,62.78,13.9
Taney,2020,598,9.87,7.69,20.1,62.2,63.21,14.93
Taney,2021,565,12.74,7.45,18.33,73.12,63.23,13.65
Taney,2022,598,9.53,8.7,11.74,69.76,56.11,11.07
Taney,2023,600,10.0,9.0,13.71,63.42,66.11,11.06
Taney,2024,606,11.22,10.07,8.8,67.05,65.4,14.69
Texas,2016,302,10.37,6.33,24.92,74.04,49.83,20.2
Texas,2017,291,8.48,8.93,26.83,74.54,54.06,18.06
Texas,2018,264,8.78,8.71,22.05,73.31,57.63,14.45
Texas,2019,277,9.03,5.07,22.91,70.43,55.11,18.41
Texas,2020,259,12.45,7.34,17.25,65.6,51.74,24.12
Texas,2021,297,11.86,8.75,14.43,62.63,53.2,17.35
Texas,2022,260,8.53,5.77,12.11,58.82,50.38,16.15
Texas,2023,279,9.32,7.89,8.6,59.93,51.26,20.94
Texas,2024,283,8.48,7.12,8.19,58.72,48.41,20.49
Vernon,2016,237,12.24,7.59,22.46,75.33,50.0,21.61
Vernon,2017,234,9.4,6.41,20.6,73.48,50.22,16.74
Vernon,2018,256,9.77,7.06,20.31,71.31,45.45,19.14
Vernon,2019,241,7.08,7.47,15.77,66.53,44.73,21.99
Vernon,2020,258,8.56,5.43,14.45,78.0,53.09,17.97
Vernon,2021,253,9.88,6.72,19.35,71.14,43.1,24.7
Vernon,2022,224,7.14,5.83,13.9,76.85,52.47,14.93
Vernon,2023,245,5.31,4.49,8.68,72.5,54.39,22.04
Vernon,2024,263,7.6,5.7,12.74,69.08,50.2,18.39
Warren,2016,425,9.2,9.88,18.85,71.57,40.86,13.92
Warren,2017,409,8.07,6.6,20.25,75.96,33.17,10.32
Warren,2018,430,10.28,5.81,16.39,76.85,36.24,10.02
Warren,2019,422,12.09,9.48,17.66,72.77,34.53,10.45
Warren,2020,376,9.84,7.71,13.51,72.07,33.78,10.9
Warren,2021,433,12.24,10.19,9.53,77.45,32.23,8.8
Warren,2022,464,9.7,6.68,6.84,69.27,29.3,8.04
Warren,2023,426,8.22,6.82,7.33,74.07,30.57,7.55
Warren,2024,472,9.77,7.2,5.62,70.07,30.6,8.9
Washington,2016,290,13.45,12.85,30.99,62.92,60.36,23.26
Washington,2017,289,14.53,10.76,31.23,63.77,58.36,18.47
Washington,2018,274,13.24,8.42,24.91,60.53,62.17,17.58
Washington,2019,276,8.7,6.88,27.04,63.81,62.78,16.36
Washington,2020,264,13.31,8.33,24.33,61.51,56.93,16.67
Washington,2021,272,12.96,12.5,22.43,69.06,52.26,17.84
Washington,2022,265,12.12,10.57,21.01,70.93,59.39,10.69
Washington,2023,226,10.67,8.85,17.33,62.78,55.36,15.93
Washington,2024,212,15.17,10.38,10.43,64.68,52.88,11.79
Wayne,2016,142,10.56,4.23,29.08,52.14,68.79,19.15
Wayne,2017,150,12.67,11.33,30.2,64.63,70.47,20.67
Wayne,2018,115,6.96,6.09,28.95,68.42,61.4,18.42
Wayne,2019,142,15.6,14.08,27.14,68.79,67.14,12.68
Wayne,2020,112,13.39,8.04,23.21,59.46,62.39,9.91
Wayne,2021,106,13.33,6.6,27.62,68.63,70.48,18.87
Wayne,2022,129,13.95,10.85,20.31,72.66,67.44,15.63
Wayne,2023,109,14.68,10.09,18.35,71.56,73.15,15.6
Wayne,2024,133,11.28,9.77,20.66,70.77,69.17,13.64
Webster,2016,585,7.57,5.81,11.57,53.15,35.81,34.88
Webster,2017,559,8.42,6.62,13.21,56.17,28.62,37.88
Webster,2018,608,7.41,6.1,11.37,52.52,32.62,36.3
Webster,2019,619,9.92,7.46,13.13,61.45,37.64,33.44
Webster,2020,551,13.19,7.64,11.17,61.65,32.6,34.06
Webster,2021,604,12.27,9.27,10.18,57.84,33.06,31.34
Webster,2022,617,10.39,7.13,7.95,56.88,31.01,33.44
Webster,2023,608,8.28,5.76,5.28,56.9,33.77,29.04
Webster,2024,649,9.41,7.87,4.18,60.19,33.28,30.03
Worth,2016,25,,,,75.0,,
Worth,2017,22,,,,85.71,,
Worth,2018,27,,,,85.19,,
Worth,2019,21,,,,71.43,,
Worth,2020,26,,,,72.0,,
Worth,2021,16,,,,93.75,,
Worth,2022,24,,,,83.33,,
Worth,2023,21,,,,90.48,,
Worth,2024,21,,,,75.0,,
Wright,2016,269,11.57,9.67,21.8,56.22,52.24,23.51
Wright,2017,259,9.3,5.02,21.48,62.35,54.09,21.48
Wright,2018,230,11.35,6.99,17.47,54.71,52.84,27.39
Wright,2019,256,10.63,8.2,18.75,57.89,51.38,19.53
Wright,2020,222,5.86,5.41,15.38,62.21,50.45,24.32
Wright,2021,247,10.53,8.1,18.44,63.37,52.85,19.84
Wright,2022,258,13.62,8.53,10.89,61.57,50.78,22.09
Wright,2023,263,7.6,8.02,7.31,63.22,49.81,21.37
Wright,2024,271,8.52,5.56,7.78,59.55,57.78,18.52
