county,year,live_births,preterm_rate,lbw_rate,smoking_rate,early_prenatal_rate,medicaid_rate,low_education_rate
Christian,2018,1045,8.24,6.32,10.47,76.95,31.89,6.32
Christian,2019,1092,7.61,5.32,9.53,78.73,29.1,5.05
Christian,2020,982,8.55,6.42,8.47,79.15,34.12,6.32
Christian,2021,1072,8.49,6.06,6.97,79.56,35.57,4.96
Christian,2022,1028,10.99,8.07,5.96,76.47,29.92,4.1
Christian,2023,1027,8.28,6.23,4.49,78.39,36.26,6.34
Christian,2024,1001,8.99,6.29,2.4,76.58,36.94,5.9
Clark,2016,75,14.67,,26.67,70.27,45.33,14.67
Clark,2017,72,15.28,,26.39,71.64,38.89,19.44
Clark,2018,78,11.54,,23.08,80.26,35.06,10.26
Clark,2019,75,10.67,,16.0,83.78,30.67,21.33
Clark,2020,87,17.24,,18.39,80.95,32.18,19.54
Clark,2021,76,9.21,,12.33,77.33,38.67,21.33
Clark,2022,76,14.47,,20.0,72.37,44.74,25.0
Clark,2023,65,16.92,,15.38,70.31,38.46,21.54
Clark,2024,60,25.0,,8.47,65.0,26.67,13.79
Clay,2016,2981,9.05,7.55,10.61,74.48,24.53,7.32
Clay,2017,3054,8.49,6.55,10.5,73.66,28.16,6.93
Clay,2018,3121,9.53,6.83,9.65,73.45,27.83,5.81
Clay,2019,3096,9.63,6.91,8.05,75.88,26.59,6.12
Clay,2020,3000,11.4,8.44,7.55,74.66,27.71,5.58
Clay,2021,2948,10.28,7.67,6.25,76.78,27.76,6.1
Clay,2022,2996,10.15,8.45,4.92,76.82,26.84,4.92
Clay,2023,2835,10.52,7.74,3.97,76.04,29.38,5.77
Clay,2024,2934,9.65,7.44,2.81,76.01,27.11,5.3
Clinton,2016,255,7.11,9.02,23.62,75.2,44.09,10.2
Clinton,2017,228,7.02,5.26,21.05,82.67,29.2,8.33
Clinton,2018,223,10.31,8.07,23.08,79.82,40.64,9.46
Clinton,2019,235,11.91,9.79,16.24,76.96,35.04,7.26
Clinton,2020,238,11.34,8.82,21.61,79.24,34.32,9.66
Clinton,2021,231,9.09,7.79,13.1,84.75,35.37,9.09
Clinton,2022,238,7.59,6.3,12.24,83.33,34.05,5.88
Clinton,2023,229,11.79,12.66,7.42,78.38,28.89,7.42
Clinton,2024,260,10.77,6.54,7.36,80.54,28.08,8.08
Cole,2016,939,10.44,9.06,15.9,75.03,30.17,9.58
Cole,2017,845,9.6,8.88,14.96,74.49,30.77,9.83
Cole,2018,923,10.85,9.86,17.69,73.79,32.65,9.12
Cole,2019,819,9.16,6.59,10.55,80.42,30.4,7.83
Cole,2020,820,10.0,8.18,11.51,78.27,28.94,7.58
Cole,2021,838,10.74,8.59,12.06,80.44,36.72,8.24
Cole,2022,789,13.71,11.15,8.23,81.04,36.09,7.22
Cole,2023,847,10.99,7.91,8.22,83.79,36.48,9.36
Cole,2024,792,11.11,8.59,6.63,81.46,34.89,7.71
Cooper,2016,192,10.94,7.81,16.67,79.17,27.6,18.23
Cooper,2017,196,9.69,7.65,22.28,79.9,28.57,17.86
Cooper,2018,215,10.7,7.91,14.76,78.3,33.95,14.49
Cooper,2019,201,11.44,6.97,18.27,80.0,30.35,10.95
Cooper,2020,174,8.05,5.17,8.93,79.41,31.61,13.79
Cooper,2021,194,8.76,8.81,13.09,81.35,39.18,10.36
Cooper,2022,170,7.06,4.12,7.69,81.55,30.59,10.0
Cooper,2023,173,19.19,11.63,5.88,84.71,37.79,9.88
Cooper,2024,202,11.88,10.4,6.93,80.61,31.68,20.3
Crawford,2016,265,9.51,5.66,29.39,76.63,49.23,19.32
Crawford,2017,254,11.07,11.51,31.75,80.0,45.75,20.87
Crawford,2018,265,9.47,7.92,27.92,74.23,36.47,16.35
Crawford,2019,256,13.39,10.16,24.6,68.95,41.87,16.41
Crawford,2020,226,10.62,7.08,26.01,75.23,47.73,20.35
Crawford,2021,240,8.82,8.75,22.27,76.79,41.88,15.06
Crawford,2022,242,14.05,14.88,18.49,75.0,43.33,14.88
Crawford,2023,244,11.89,9.84,15.42,74.68,51.25,15.35
Crawford,2024,263,9.89,6.08,11.79,75.86,50.38,11.03
Dade,2016,71,11.27,,,71.01,49.3,14.08
Dade,2017,70,10.0,,,73.85,40.58,17.14
Dade,2018,75,6.67,,,68.92,45.95,10.67
Dade,2019,69,10.14,,,70.59,57.97,18.84
Dade,2020,78,14.1,,,78.21,53.25,8.97
Dade,2021,57,14.04,,,63.16,47.27,14.29
Dade,2022,64,9.38,,,71.43,46.03,20.31
Dade,2023,64,7.81,,,71.43,40.63,10.94
Dade,2024,78,10.26,,,77.63,47.44,21.79
Dallas,2016,213,9.86,6.1,24.06,66.83,36.49,28.77
Dallas,2017,204,11.76,8.82,22.55,63.13,39.7,33.33
Dallas,2018,239,9.21,8.79,18.99,69.75,45.8,25.63
Dallas,2019,219,9.13,8.22,19.27,67.28,40.55,29.68
Dallas,2020,215,12.56,9.81,12.56,71.43,38.6,26.05
Dallas,2021,221,12.22,5.43,19.55,69.72,44.55,27.15
Dallas,2022,201,9.95,6.97,8.04,62.76,38.81,31.0
Dallas,2023,205,7.8,6.34,9.85,76.35,43.63,29.41
Dallas,2024,198,5.56,3.54,6.6,72.31,40.91,29.8
Daviess,2016,110,,,21.7,60.38,45.45,33.64
Daviess,2017,119,,,10.17,53.98,28.45,42.37
Daviess,2018,129,,,18.6,59.52,41.6,34.88
Daviess,2019,119,,,12.82,56.14,35.65,40.34
Daviess,2020,121,,,16.67,59.83,40.34,33.06
Daviess,2021,104,,,7.69,59.18,30.39,41.35
Daviess,2022,127,,,7.94,60.8,25.98,45.67
Daviess,2023,110,,,6.42,62.26,24.07,40.91
Daviess,2024,101,,,8.91,60.61,29.7,40.0
DeKalb,2016,123,,,21.14,82.64,34.15,10.66
DeKalb,2017,96,,,20.83,87.23,31.25,6.25
DeKalb,2018,102,,,18.63,81.25,42.16,12.75
DeKalb,2019,81,,,12.35,83.95,33.75,7.5
DeKalb,2020,105,,,18.45,81.55,38.46,11.43
DeKalb,2021,87,,,14.94,80.46,29.89,14.94
DeKalb,2022,104,,,21.57,79.61,44.12,15.38
DeKalb,2023,90,,,16.85,77.53,48.89,11.11
DeKalb,2024,89,,,10.11,71.26,25.84,6.74
Dent,2016,166,12.65,11.52,35.76,70.13,57.58,21.82
Dent,2017,171,9.36,6.43,26.63,72.39,60.23,24.56
Dent,2018,186,12.37,12.37,31.35,69.27,50.54,18.82
Dent,2019,138,13.77,12.41,27.54,74.64,57.25,18.98
Dent,2020,152,7.95,5.26,24.5,71.43,53.95,15.79
Dent,2021,143,11.97,8.39,24.11,68.57,55.24,16.2
Dent,2022,156,15.13,8.33,18.18,64.05,59.35,16.67
Dent,2023,140,6.43,5.71,11.43,67.63,52.17,12.86
Dent,2024,143,13.29,6.29,7.8,55.63,52.48,14.08
Douglas,2016,154,5.84,7.14,22.73,71.53,52.98,14.38
Douglas,2017,159,8.92,5.06,18.24,60.67,54.78,12.03
Douglas,2018,162,11.73,6.79,16.77,60.13,46.3,11.11
Douglas,2019,121,9.92,4.96,19.49,53.85,52.89,8.26
Douglas,2020,131,7.63,6.15,14.5,55.38,53.85,16.79
